MAFF code,Description,Fat,Saturated fat,Monounsaturated fat,Polyunsaturated fat,Carbohydrate,Energy,Sodium,Total sugar,Added sugar,Alcohol,Fibre,Cholesterol,Protein,NPM score
5505,"Bacon and ham rashers, uncooked",17.173398,6.371363,7.224447,2.324551,0,219.96083,1.253683,0,0,0,0,54.101787,16.35006,13
5801,Ham and bacon,8.679333,2.920416,3.762154,1.357469,0.241378,164.33416,1.188046,0.241378,0.241378,0,0,72.942592,21.32875,9
5903,Cooked chicken and turkey,5.304041,1.487556,2.3803,1.059831,0.535006,127.009,0.349998,0.280234,0.280234,0,0,82.759889,19.31659,0
5904,Takeaway chicken,12.304529,2.519529,6.175093,2.875152,10.130713,221.99904,0.381262,0.120425,0,0,0.015593,60.578176,18.24924,3
6201,Corned beef - canned or sliced,10.9,5.5348,4.2069,0.3041,1,205.45,0.854,1,1,0,0,84,25.9,11
6601,Other cooked meat,13.675209,5.024679,6.068698,1.455923,1.729227,200.07817,0.850072,0.329521,0.165878,0,0.16666,76.415312,17.62917,11
7102,Other canned meat and canned meat products,13.4145,5.168762,5.59785,1.558301,6.868656,188.96801,0.53434,1.417864,0.817124,0,1.252521,43.045572,10.62001,6
7401,Chicken - whole or part,7.447719,2.050473,3.45512,1.415621,0,125.99097,0.049953,0,0,0,0,67.771301,14.74037,-2
7703,Turkey - whole or part,2.99443,0.946422,1.106975,0.698832,0,96.565735,0.053783,0,0,0,0,58.561226,17.40397,-4
7704,Poultry other than chicken or turkey,14.991563,4.441552,7.568161,2.111529,0,178.41452,0.038383,0,0,0,0,73.457268,10.87261,1
7801,"Other fresh, chilled or frozen meat",3.3,1.284,0.78,1.05,0,82.26,0.0402,0,0,0,0,31.8,13.14,-3
7901,"Sausages, uncooked - pork",22.405409,8.338431,9.92168,3.134087,8.689224,282.57617,0.807746,2.511204,0.01569,0,0.6,61.850058,12.08572,14
8001,"Sausages, uncooked - beef etc.",23.235499,8.863771,10.698922,2.323954,8.05931,280.25965,0.743917,1.147187,0.029281,0,0.347187,46.528133,10.22944,14
8302,Meat pies - ready to eat,25.663653,9.974326,10.880013,3.479103,25.122796,364.60872,0.550158,1.544914,0,0,1.158667,38.355975,9.85634,13
8303,Sausage rolls - ready to eat,24.1,10.36,9.42,3.07,26.9765,351.82187,0.577,1.3465,0,0,1.7,1.89,8.4,13
8401,"Meat pies, pasties and puddings - frozen or not frozen",17.421125,7.65995,6.840098,1.855516,24.094577,283.02342,0.400644,1.369256,0.020106,0,2.098022,25.381452,8.94299,7
8501,Burgers - frozen or not frozen,24.172935,10.624222,10.836767,0.933384,1.450301,289.33519,0.317731,0.205947,0.113176,0,0.44132,73.160077,16.58504,11
8901,Complete meat-based ready meals - frozen or not frozen,5.023669,1.776178,2.003753,0.706997,10.223143,127.36472,0.277497,2.459242,0.138191,0,0.69585,27.904551,10.82895,0
8902,Other convenience meat products - frozen or not frozen,13.655426,4.41746,5.8782,2.543916,10.869738,231.07941,0.485933,1.258243,0.085003,0,0.470704,66.278006,16.85469,6
9301,Pate,31.074597,11.363187,13.577344,4.192494,1.341339,336.79746,0.746859,0.47067,0,0,0,169.21478,13.02402,17
9302,Delicatessen type sausages,25.208342,8.886817,10.879007,2.846967,3.564432,301.40038,1.079961,0.538989,0.063419,0,0.168409,76.126713,15.28967,16
9403,Meat pastes and spreads,13.4,5.59,5.97,1.26,2.3,192.025,0.81,0.2,0.2,0,0,62,15.7,10
9501,Takeaway meat pies and pasties,18.731326,7.499818,8.345369,1.818917,26.290236,300.25456,0.447221,1.394649,0.028051,0,2.202809,37.497672,8.27106,6
9502,Takeaway burger and bun,9.6,4,4.79,0.44,26.9,243,0.42,5.7,0,0,0.9,94,13.9,5
9503,Takeaway kebabs,16.2,7.8,6.1,0.9,14,255.1,0.55,1.5,0,0,1.2,47,14.2,10
9504,Takeaway sausages and saveloys,22.7,8.46,10.09,3.15,9.2,286,0.88,2.7,0,0,0.6,62,11.8,15
9505,Takeaway meat based meals,6.123992,1.648154,2.755566,1.332828,7.444322,139.18445,0.306958,2.592104,0.614523,0,1.558755,40.295589,14.30782,-2
9506,Takeaway miscellaneous meats,28.593591,10.121824,12.971655,4.105307,6.547093,348.40848,1.257681,0.260036,0.052007,0,0.915878,123.31395,16.62864,18
10201,"White fish, fresh or chilled",0.844414,0.153315,0.234566,0.272288,0.339546,69.461295,0.08673,0.004468,0,0,0.024572,44.567859,15.18216,-5
10202,"White fish, frozen",1.886296,0.306695,0.774343,0.579291,2.775429,87.14334,0.121619,0.087874,0.085545,0,0.1623,43.294119,14.94276,-3
10601,"Herrings and other blue fish, fresh or chilled",7.5314,1.665833,2.688884,2.03288,0,125.90978,0.098371,0,0,0,0,68.860648,14.56614,-2
10602,"Herrings and other blue fish, frozen",7.5314,1.665833,2.688884,2.03288,0,125.90978,0.098371,0,0,0,0,68.860648,14.56614,-2
10701,"Salmon, fresh or chilled",11.85,2.1251,4.74,3.2074,0,171.114,0.03397,0,0,0,0,53.72,16.116,-1
10702,"Salmon, frozen",11.85,2.1251,4.74,3.2074,0,171.114,0.03397,0,0,0,0,53.72,16.116,-1
10801,"Blue fish, dried or salted or smoked",18.188152,3.29754,8.587643,4.174951,0.032059,234.1173,0.791486,0.032059,0,0,0,60.789646,17.59137,8
11401,"White fish, dried or salted or smoked",0.409143,0.069926,0.086945,0.145605,0.617796,48.968882,0.713213,0.199021,0.199021,0,0,24.162714,10.74428,2
11702,"Shellfish, fresh or chilled",2.344797,0.296776,0.981254,0.618006,3.014166,94.244938,0.613789,0.099232,0,0,0.136444,131.25552,15.55829,2
11703,"Shellfish, frozen",2.344797,0.296776,0.981254,0.618006,3.014166,94.244938,0.613789,0.099232,0,0,0.136444,131.25552,15.55829,2
11801,Takeaway fish,14.849947,7.197764,5.524425,1.231932,10.673816,240.26905,0.176885,0.977912,0,0,0.497282,66.185393,16.64818,6
11901,Tinned salmon,4.575,0.885,1.7775,1.2225,0,111.75,0.29325,0,0,0,0,46.5,17.7,-1
12001,Other tinned or bottled fish,5.071037,1.111869,1.385371,1.964714,0.217058,117.42688,0.262011,0.200823,0.187346,0,0,44.965626,17.71652,-1
12103,Ready meals and other fish products - frozen or not frozen,7.451571,1.417356,3.371038,2.152698,14.385097,168.71945,0.395835,0.972322,0.179382,0,0.516866,39.528306,11.92862,2
12304,Takeaway fish products,6.097397,1.136529,2.392288,2.018392,10.763714,139.78043,0.695799,0.729601,0.529601,0,0.553733,47.139753,11.13498,4
12305,Takeaway fish based meals,4.7,0.64,2.35,1.35,2.51,83.0725,0.536,1.3,0,0,1.6,55.6,7.8,0
12901,Eggs,443.95317,124.30689,170.18205,71.032507,0,6461.985,7.596532,0,0,0,0,17264.846,621.5344,25
13501,Butter,82.343,52.6325,21.2315,3.977,0.528,745.66637,0.430365,0.528,0,0,0,224.34,0.655,23
13801,Soft margarine,70.554585,21.899865,31.966152,13.295489,0.537749,637.43092,0.69829,0.537749,0,0,0,33.243143,0.33609,24
13802,Other margarine,76.4,26.4,34,12.2,0.318933,688,0.6,0.318933,0,0,0,15,0.19933,24
13901,"Lard, cooking fat",99.306244,40.912488,42.389395,10.857483,0,893.7562,0.001388,0,0,0,0,66.96926,0,20
14304,Olive Oil,91.2087,12.817698,63.652717,10.201862,0,820.8783,0,0,0,0,0,0,0,20
14305,Other vegetable and salad oils,91.882215,9.792827,36.454666,41.280846,0,826.96097,5.26E-05,0,0,0,0,0.97992,0.00526,19
14802,Reduced fat spreads,59.42315,13.6072,21.772824,20.972976,0.4824,536.79898,0.606661,0.4824,0,0,0,2.907846,0.14303,22
