"","quantile"
"1",0.247106936605267
"2",0.285098707525701
"3",0.28580106765067
"4",0.288521636906456
"5",0.289132549800966
"6",0.289296732798074
"7",0.289819647167303
"8",0.290536835341259
"9",0.291241032406716
"10",0.291485952057094
"11",0.295972247797339
"12",0.296731616685327
"13",0.304067730956466
"14",0.304312050052227
"15",0.305719577570646
"16",0.306774227203634
"17",0.308903654163634
"18",0.312088702400189
"19",0.312352385347299
"20",0.314699832223478
"21",0.315143313064124
"22",0.31678626742659
"23",0.316994490289268
"24",0.318417128897984
"25",0.318919499626704
"26",0.3190910511093
"27",0.320641363976648
"28",0.32067969051796
"29",0.320996560613438
"30",0.321047050628344
"31",0.321882662361353
"32",0.325577952874455
"33",0.325684786129021
"34",0.326530418923106
"35",0.327082622621731
"36",0.329245402256956
"37",0.329356288293161
"38",0.33127312004946
"39",0.331652048805277
"40",0.332352876348143
"41",0.332553043207181
"42",0.332591404984385
"43",0.33446580517359
"44",0.336166891920558
"45",0.336450597377558
"46",0.337617861818702
"47",0.337959198440912
"48",0.338039497840547
"49",0.338219562750055
"50",0.338398896055001
"51",0.338999154517476
"52",0.340499957357853
"53",0.342429255002108
"54",0.3433882411054
"55",0.34430659711006
"56",0.344374598575943
"57",0.344570209868942
"58",0.344666148039192
"59",0.345389979660885
"60",0.345504253828951
"61",0.347282963465761
"62",0.347391667997922
"63",0.347431029068019
"64",0.347436025101029
"65",0.348110227765715
"66",0.348458681698362
"67",0.348465213852342
"68",0.349098510834052
"69",0.349202265637871
"70",0.350317217596576
"71",0.35120650270096
"72",0.351383640199723
"73",0.352411013549948
"74",0.352592334553618
"75",0.352899328043669
"76",0.3532540842303
"77",0.353433403238338
"78",0.353735404065923
"79",0.353958706257208
"80",0.354322205504082
"81",0.354973946628397
"82",0.355089510957496
"83",0.357376960692091
"84",0.358639358277771
"85",0.358888187298598
"86",0.359320120719349
"87",0.360426548311614
"88",0.361912487963167
"89",0.363226842461138
"90",0.364259914768234
"91",0.364472560530381
"92",0.365007670699849
"93",0.36608594071409
"94",0.366607054732613
"95",0.367628609865158
"96",0.368004254455138
"97",0.368135362413159
"98",0.368682726835835
"99",0.370740262883771
"100",0.371856925379271
"101",0.373759421054464
"102",0.374274992390184
"103",0.374375883614296
"104",0.374872840332161
"105",0.375995392440492
"106",0.377708210503508
"107",0.378226468749076
"108",0.378452881576107
"109",0.378618660125276
"110",0.380377428015381
"111",0.380697998374505
"112",0.380746484430131
"113",0.381173365210992
"114",0.383095377558639
"115",0.383198217724097
"116",0.383487245634328
"117",0.383629180160121
"118",0.383743765418151
"119",0.383749280907484
"120",0.383801068753432
"121",0.384193483522689
"122",0.384751680708727
"123",0.384781309328245
"124",0.385453133203638
"125",0.385911595854442
"126",0.38639605708853
"127",0.387066172905323
"128",0.387513057668144
"129",0.389360383655107
"130",0.389889796364539
"131",0.390128535397966
"132",0.390148144315382
"133",0.390638819532937
"134",0.390941859846323
"135",0.391058095202566
"136",0.391061123606839
"137",0.391287335901133
"138",0.391798519634609
"139",0.393210545054492
"140",0.395675684529551
"141",0.395762815308479
"142",0.396403758363919
"143",0.39644347070666
"144",0.397025693968546
"145",0.398643224506223
"146",0.398909692633379
"147",0.399018172528199
"148",0.399123260941457
"149",0.39974299655514
"150",0.400003195295618
"151",0.400548403634739
"152",0.401881100368473
"153",0.401976721232052
"154",0.402038950443385
"155",0.402268280362936
"156",0.402389084794328
"157",0.403125846182148
"158",0.403242685343878
"159",0.404067734175248
"160",0.40407277441262
"161",0.404313553944532
"162",0.405131327429641
"163",0.407183033194541
"164",0.407456599013644
"165",0.408163366969753
"166",0.411034987826563
"167",0.41165525792276
"168",0.41235786400915
"169",0.413092171574672
"170",0.413657725393203
"171",0.413804803857152
"172",0.414053295960012
"173",0.41414098322132
"174",0.414574068331947
"175",0.415834162471162
