"","quantile"
"1",1.17880735256253
"2",0.76479529187499
"3",1.21473102628556
"4",1.11200996759121
"5",1.27902358492809
"6",1.46440505181933
"7",1.03197370777726
"8",0.933829166047607
"9",1.0904895765199
"10",1.1078599509994
"11",0.705859775847261
"12",0.848791315220807
"13",1.20593234346701
"14",1.6132386035846
"15",0.904590656464639
"16",0.751938775775558
"17",0.803423067102492
"18",1.33043967620352
"19",0.962914307545247
"20",1.04002466061621
"21",1.07210475503433
"22",0.859792062373989
"23",1.06006587805941
"24",0.683917359896211
"25",0.842495317400443
"26",0.807517178381528
"27",0.900135817729124
"28",0.935238500294004
"29",0.766401985576093
"30",0.765353786255851
"31",0.869497441312272
"32",0.888626370665051
"33",0.899589802594211
"34",1.02030066145727
"35",0.852212748698112
"36",1.02079843683739
"37",0.893487332557653
"38",1.1402155188846
"39",1.1103499022669
"40",1.02656437946562
"41",0.820251485779006
"42",0.863465921089416
"43",1.18472549276971
"44",1.09918962323098
"45",1.18345351683175
"46",0.788499407054273
"47",1.15129313938703
"48",0.93933680253757
"49",0.871420004095527
"50",1.04729886697433
"51",0.745161814791868
"52",0.853397925514115
"53",0.906190546088286
"54",0.771778433118636
"55",0.88816542967687
"56",1.16940898787535
"57",0.891097462968561
"58",1.09588694922946
"59",1.00890698246279
"60",1.01360453089681
"61",1.07585668679369
"62",0.785809609263764
"63",1.10624478169328
"64",0.929742334598815
"65",0.888191016966044
"66",1.41049674782432
"67",0.758153439533064
"68",0.649426384253606
"69",0.967347091477173
"70",1.06072028919428
"71",1.17543881183705
"72",0.658125580107391
"73",1.15278330298135
"74",0.940234452221813
"75",1.33472244337273
"76",1.1090345189895
"77",0.970083914212942
"78",1.17812998905334
"79",0.770304900045259
"80",0.938532655660346
"81",0.978810227264861
"82",1.14480519282726
"83",0.802150406538078
"84",0.800863595195638
"85",0.917547284354555
"86",0.829442104673144
"87",1.40012621387221
"88",1.00520258580507
"89",1.14571635448208
"90",1.49116997706723
"91",0.784614541308257
"92",1.08373616169555
"93",0.804418233490392
"94",0.770099118534105
"95",0.678799312180019
"96",1.15211356941027
"97",0.922519991818064
"98",1.26529450986138
"99",0.91590152716953
"100",0.956825868948219
"101",0.839540838262944
"102",1.19864459535977
"103",0.937522095552009
"104",1.04283917913507
"105",0.968546609230823
"106",1.18465942752534
"107",0.892656096166256
"108",1.00541782528691
"109",1.0133217165588
"110",0.866733636834909
"111",1.13451464297429
"112",1.37170433357122
"113",0.93977170224844
"114",0.864564425852952
"115",0.950485170422695
"116",0.853540097663634
"117",0.915747716623687
"118",1.00636222534012
"119",0.705256291979404
"120",0.985757790243656
"121",0.860250249645954
"122",1.23025388123238
"123",1.18589529323439
"124",0.960528321377672
"125",0.713805812025922
"126",1.05554317600682
"127",0.810430486372725
"128",1.50112493103105
"129",0.850237278577577
"130",0.88601742176013
"131",1.04660726851879
"132",0.921532998755536
"133",0.782083851673137
"134",1.12761777744992
"135",0.98533233821526
"136",0.922877678268815
"137",1.14369428187072
"138",0.804701994249077
"139",1.11417487438078
"140",1.02964860156555
"141",0.825907130810596
"142",0.942051272374668
"143",0.998484103464279
"144",1.1170124857211
"145",1.0358362147792
"146",0.925135339991391
"147",1.13901388647585
"148",0.966660496856964
"149",0.829329103832138
"150",0.824595236164417
"151",1.07970667998894
"152",0.787454719931612
"153",1.03988268445855
"154",1.0366961143988
"155",0.963118579213531
"156",1.07993608059045
"157",0.764803625521318
"158",1.44467176834096
"159",1.06052044077553
"160",0.985802167299978
"161",0.844498873852572
"162",0.70834421780367
"163",1.05628141466466
"164",1.00339076047387
"165",0.673737470220553
"166",1.23265503991365
"167",0.987968728377341
"168",1.09476440858376
"169",1.16190671205724
"170",0.715199718508462
"171",1.26863534042992
"172",0.787500732263806
"173",0.737480938983286
"174",0.756937316593769
"175",1.01490076622823
"176",0.706116692091512
"177",1.33840455271467
"178",1.29356603964992
"179",0.790999140474236
"180",0.786828259329613
"181",1.01615671797885
"182",0.649278766330743
"183",1.48125772028854
"184",0.920197055321693
"185",1.13529993181682
"186",1.80472598834164
"187",0.951135771204789
"188",0.938263958694435
"189",0.77196039419682
"190",0.911852678612423
"191",0.807584308825525
"192",0.82387219981266
"193",0.776442054698161
"194",0.803517572614078
"195",0.765288576358529
"196",0.714975410691905
"197",0.807605344181849
"198",0.752265870846647
"199",0.814133993229418
"200",0.949447437988462
"201",1.10549247252141
"202",1.0560308675388
"203",0.944771299705659
"204",1.24294902402766
"205",1.09730171458111
"206",0.837991788436917
"207",0.823521725446639
"208",0.876249656945894
"209",0.800492717695228
"210",1.32245853925514
"211",0.898754016608938
"212",1.42674481804569
"213",0.730867116126392
"214",0.787631116053175
"215",1.09599113676214
"216",1.05531332981053
"217",0.722222739149025
"218",0.992698198700191
"219",1.02177309734874
"220",1.26402406091401
"221",0.770615285046534
"222",1.04222063718029
"223",0.977956435282076
"224",0.98331726659936
"225",1.13185143614135
"226",1.22247503430394
"227",0.787622196508417
"228",0.957729973814414
"229",0.865162837022965
"230",0.823870205449058
"231",0.863349106865053
"232",0.813659962425115
"233",0.908245900159981
"234",1.14473108433424
"235",0.835232239621456
"236",1.20388587892092
"237",0.932818194951114
"238",0.903877357127428
"239",0.87936959301149
"240",1.01597451201604
"241",1.27605152188987
"242",1.39402196335398
"243",1.11295564328148
"244",1.14294975629301
"245",0.983560351257449
"246",0.899031892635802
"247",0.957522851526607
"248",1.42239906635161
"249",1.18952168113673
"250",1.13338102822261
"251",1.58648230391372
"252",0.896887169460487
"253",0.972642814817129
"254",0.81105251200603
"255",1.0239175171634
"256",0.855114361004752
"257",0.868002104784894
"258",0.869906484627284
"259",0.772392032026227
"260",0.960652424580544
"261",1.00286892330662
"262",1.13151747514038
"263",1.0800450096737
"264",1.14284214062024
"265",1.13311158477208
"266",0.757886259872711
"267",1.01791743943427
"268",0.906182863951444
"269",0.856596158632727
"270",0.995557810553139
"271",1.10818891914664
"272",1.43421098001855
"273",1.13527568684981
"274",1.17398381255154
"275",0.930341833258037
"276",0.736088188626598
"277",1.07786899546682
"278",1.03238100047651
"279",0.962271466406972
"280",0.907272045857046
"281",1.44009003215824
"282",0.734511170008547
"283",0.858658240160913
"284",0.929218441357417
