Age,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,EnergyIntake,PhysicalActivity,Weight,Height
59,330.4261557,51.69298219,51.33118074,3354.594238,1992.266186,1.6,58.87961536,159.6298072
60,328.2001438,51.52630774,51.03260881,3334.17315,1980.66778,1.6,58.0060561,159.2459382
61,325.9535053,51.35949304,50.73166635,3313.731364,1968.976124,1.6,57.68290415,158.8620692
62,323.7011925,51.19389025,50.43041791,3293.392107,1957.271454,1.6,57.39558402,158.4782002
63,321.4579223,51.03071483,50.13088477,3273.27227,1945.631662,1.6,57.06688396,158.0943311
64,319.2376899,50.87097063,49.83496816,3253.478345,1934.129368,1.6,56.81660626,157.7104621
65,317.0533228,50.71538369,49.54437869,3234.10273,1922.829259,1.6,55.77768556,157.3265931
66,314.9160954,50.56434922,49.26057615,3215.220623,1911.785829,1.6,55.48900512,156.9427241
67,312.8354297,50.41789574,48.98472312,3196.887689,1901.041673,1.6,55.18039265,156.5588551
68,310.8186927,50.27566888,48.71765498,3179.138615,1890.626411,1.6,54.94459307,156.1749861
69,308.871101,50.13693655,48.45986768,3161.98662,1880.556304,1.6,54.69193477,155.7911171
70,306.9957322,50.00061542,48.21152344,3145.423939,1870.834561,1.6,53.46946476,155.407248
71,305.1936371,49.86531778,47.97247371,3129.423212,1861.452303,1.6,53.20542652,155.023379
72,303.4640433,49.7294164,47.7422973,3113.93969,1852.39011,1.6,52.95961923,154.63951
73,301.8046311,49.59112414,47.52035118,3098.914133,1843.620047,1.6,52.70865286,154.255641
74,300.2118649,49.4485842,47.30583047,3084.276232,1835.108039,1.6,52.45869703,153.871772
75,298.6813578,49.29996631,47.09783402,3069.948388,1826.816464,1.6,51.23585874,153.487903
76,297.2082474,49.14356411,46.89543158,3055.849688,1818.706793,1.6,50.9172429,153.104034
77,295.7875636,48.97788863,46.69772897,3041.899908,1810.742168,1.6,50.72500258,152.7201649
78,294.4145685,48.80175334,46.50392756,3028.023415,1802.889764,1.6,50.44189612,152.3362959
79,293.0850532,48.61434677,46.31337526,3014.15283,1795.122835,1.6,50.1433694,151.9524269
80,291.79558,48.41528902,46.12560654,3000.232368,1787.422348,1.6,48.93695991,151.5685579
81,290.5436621,48.20467003,45.94037002,2986.220766,1779.778159,1.6,48.67174867,151.1846889
82,289.3278751,47.98306783,45.75764273,2972.09374,1772.189682,1.6,48.44827781,150.8008199
83,288.1479038,47.7515466,45.57763112,2957.845921,1764.666059,1.6,48.2033634,150.4169509
84,287.0045241,47.51163502,45.4007596,2943.492228,1757.22585,1.6,47.94015399,150.0330818
85,285.89953,47.26528658,45.22764816,2929.068653,1749.896292,1.6,46.42437659,149.6492128
86,284.8356136,47.0148245,45.05908112,2914.632417,1742.712199,1.6,46.20224313,149.2653438
87,283.8162096,46.76287432,44.89596952,2900.261474,1735.714585,1.6,45.98798451,148.8814748
88,282.8453171,46.51228788,44.73930989,2886.053351,1728.949099,1.6,45.75046011,148.4976058
89,281.9273103,46.26606267,44.59014225,2872.123311,1722.464374,1.6,45.50901312,148.1137368
90,281.0667513,46.02726023,44.44950991,2858.601846,1716.310387,1.6,45.25745051,147.7298678
91,280.2682139,45.79892732,44.31842331,2845.631534,1710.536895,1.6,45.00781577,147.3459987
92,279.5361287,45.58402279,44.19782991,2833.363311,1705.192039,1.6,44.79695785,146.9621297
93,278.8746536,45.38535245,44.08859098,2821.952259,1700.321151,1.6,44.57505864,146.5782607
94,278.2875754,45.20551357,43.99146609,2811.553014,1695.965788,1.6,44.31769802,146.1943917
95,277.77824,45.04684955,43.90710488,2802.314967,1692.163025,1.6,44.09683555,145.8105227
96,277.3495116,44.91141476,43.83604537,2794.37742,1688.944961,1.6,43.84691752,145.4266537
97,277.0037556,44.80094861,43.77871748,2787.864907,1686.33843,1.6,43.65529621,145.0427847
98,276.7428383,44.71685771,43.73544996,2782.882885,1684.364873,1.6,43.40912483,144.6589156
99,276.5681388,44.66020431,43.70647896,2779.513995,1683.04031,1.6,43.20050889,144.2750466
100,276.4805643,44.63169947,43.69195638,2777.815073,1682.375378,1.6,42.89324576,143.8911776
