Age,Sodium,Protein,Fat,PA,Energy,BMI
0,0.44318078030742,16.6060724966471,22.589977971923,-1524.43755126656,143.058470755395,-1.07178024969518
1,0.327142962254486,13.4692277267392,18.2845610606541,-1599.29156945232,130.618587462066,-1.24590015950671
2,0.244571052953563,11.0463545828834,15.1254872187481,-1570.37881205831,123.180565848811,-1.40750246833184
3,0.186223777648586,9.15896673526458,12.8314148682193,-1437.74646999717,118.855214119911,-1.54383204012355
4,0.141920436822553,7.61141793163557,11.0955466933468,-1222.95815157079,115.442613767854,-1.6465057081672
5,0.103374536964158,6.24361743584858,9.6569918800239,-971.849584751358,111.089081911994,-1.71678750023593
6,0.0659629885639452,4.9620347364508,8.33469054060583,-740.260168524414,104.853025820656,-1.96461231621901
7,0.0288151407987414,3.73825134209092,7.02441853200085,-572.21345903668,96.8894012144074,-2.21115662319404
8,-0.00651426943832689,2.5854233223811,5.68523235367618,-484.792506950231,88.1865858817159,-2.15832297174661
9,-0.037916553418726,1.52906674924273,4.32680133015202,-468.844750744024,80.0104513229344,-2.16752293173179
10,-0.0640669373760887,0.589968565269004,3.0000835435776,-501.384628615857,73.3645737336137,-1.82844723036007
11,-0.0845817540257912,-0.217842048981737,1.78035097305525,-559.524996569622,68.6839192467205,-1.61170566465952
12,-0.0989427231869167,-0.87607541988136,0.752929248305037,-627.340344656756,65.825361284451,-1.26803184578147
13,-0.105061140281439,-1.35071934773177,0.00333851529936169,-695.369146981849,64.2281258621688,-1.1794734011712
14,-0.0986950159575648,-1.58936405262382,-0.389296712985669,-757.093925418375,63.0376266371509,-1.1475620067654
15,-0.0747768761249277,-1.53774109221439,-0.379706832881794,-807.010467259433,61.0506470588648,-0.786617689788105
16,-0.0304207100799907,-1.17043046684535,8.81137182489056E-05,-841.401781452036,56.5867902654204,-1.07221655068314
17,0.0318190907857208,-0.524006612983541,0.604316574066701,-860.206316081719,47.607522520922,-1.49059268758311
18,0.102698469459701,0.290530789864107,1.19230381238577,-867.684097986118,32.3618629368393,-1.52937471782587
19,0.168393163279277,1.10617604549476,1.50420131137966,-870.760764305393,10.3595662213402,-1.95835818181754
20,0.215434280079605,1.74663070951053,1.35968140084162,-875.909404199179,-16.9492728524865,-0.0320132633604189
21,0.23572620668573,2.07514379873953,0.70726649456293,-886.385793738978,-46.4448014745085,0.0596450442297574
22,0.228755425303445,2.02280094197795,-0.394006060548207,-901.368540469474,-74.4902170064006,0.071226098599336
23,0.199998287990727,1.58702742286582,-1.83239354879558,-916.954526832128,-98.2877114138969,0.148157611898604
24,0.157440327153425,0.818011171441341,-3.47081108370594,-928.079722390361,-116.571557977014,0.208641074980992
25,0.108841675800661,-0.190285591323402,-5.13858546486009,-930.285263204042,-129.477376371238,0.455971890763806
26,0.0608387224950793,-1.30699420489124,-6.63244754402277,-921.101334398047,-137.946618526543,0.495915968673586
27,0.0185749442638983,-2.39116422738407,-7.78644066222765,-900.739047380407,-143.206744584435,-0.136558317075231
28,-0.0153904242541465,-3.34558439559179,-8.57665769648369,-871.790907581317,-146.413626845588,0.28864647541721
29,-0.0424668519516915,-4.1653395238242,-9.16724547028255,-837.579143585179,-148.39293520808,-0.180594001164824
30,-0.0677033125496207,-4.93501815138025,-9.82568508718697,-800.197572668445,-149.463955989164,1.01694819704178
31,-0.0969660716909759,-5.76013991118378,-10.7527047625548,-759.691240582858,-149.541999969464,0.822052537818823
32,-0.133075070002605,-6.68057679267265,-11.9486472541867,-715.329404822413,-148.496610245533,-0.00931512413508528
33,-0.173669422882051,-7.63046863637882,-13.2094932824656,-667.642605093244,-146.500183116924,0.815705038398047
34,-0.212321488322659,-8.47691517085501,-14.2504625542171,-619.281880454553,-144.010455549391,0.775977931593655
35,-0.242061247974803,-9.10052217738817,-14.866539129346,-573.587457265841,-141.458123783068,1.54660438805999
36,-0.258950622751157,-9.45673749178425,-15.0357343038032,-532.237549170161,-138.947732171294,1.0066704576623
37,-0.263416656106455,-9.57390812426399,-14.8991948966963,-493.941989105998,-136.324206322866,0.926930617098943
38,-0.258950808182274,-9.50576347875339,-14.6452423066542,-455.235365293735,-133.437390845045,0.322817561933409
39,-0.249514949314277,-9.2850920530182,-14.3728197898905,-412.333330141878,-130.310010701659,0.937844890427211
40,-0.237933608321687,-8.92458754648234,-14.0478585219192,-362.624571558204,-126.962282198243,0.847971964329407
41,-0.22602105437949,-8.45252044667478,-13.5697150355119,-305.117588177447,-123.205264925335,0.951842273171305
42,-0.215401427018868,-7.94132630469721,-12.8899815505824,-240.402760051232,-118.754079322206,0.910027945959989
43,-0.207247837964782,-7.48029565665367,-12.0602463071786,-170.562247716493,-113.713264970239,0.888634818231743
44,-0.2009387655596,-7.11222905370893,-11.1839574976611,-98.8308333899849,-108.912045165021,0.618746135802873
45,-0.1934792613524,-6.78595260907093,-10.3244371847976,-28.4942635204516,-105.568527362442,1.42928966442165
46,-0.181252995716634,-6.38657567101548,-9.47822884732605,38.7080948773846,-104.416895472611,0.85884312699433
47,-0.163186604745787,-5.82294329404246,-8.62666996590315,103.639867227834,-104.999328177068,1.09220153649143
48,-0.142359246210622,-5.1106373686308,-7.80946827919567,169.391919519205,-105.841771943177,1.09985702604523
49,-0.124112937571069,-4.37263117416234,-7.12609103022146,239.517626611327,-105.349740185015,1.20164567040808
50,-0.111950126555858,-3.76344858687996,-6.66395112807211,315.963252580556,-102.76420114997,1.74573414771708
51,-0.104767082111064,-3.37151471821748,-6.41436402960056,397.814335071876,-98.3998682777187,1.49257038603991
