Age,Sodium,Fat,Protein,PA,Energy,BMI
0,2.39625382082141,129.728060017523,81.905138388067,2765.13817988883,2817.38743188414,14
1,2.44207500008847,131.817033407127,83.2248938907095,2772.01664939891,2861.88979174432,14.3066079077909
2,2.52618707014506,135.665438069467,85.6443425365374,2786.39289258925,2943.31352804066,14.6132158155818
3,2.63598822054613,140.713112623882,88.7948976979507,2807.91655967914,3049.07474084619,14.9198237233728
4,2.75767863842944,146.328236264109,92.2716309613929,2833.76941400957,3165.60210268647,15.2264316311637
5,2.87994821142617,151.967008822467,95.740754116378,2858.83379737249,3282.05037339945,15.5330395389546
6,2.99603305222011,157.28113813387,99.00119043848,2877.71594980302,3392.25995810222,15.8095924967055
7,3.10369048866436,162.14758557728,101.989231288304,2887.36034365056,3494.56408270997,16.0322675122053
8,3.20372719196935,166.629171345106,104.740750700073,2888.90600295649,3590.20967946605,16.4589674113854
9,3.29840247514148,170.897449527813,107.344246809026,2887.62210883374,3681.65642224112,16.8693161696079
10,3.39065428984918,175.155987456944,109.905927421253,2890.65767384754,3771.63736833298,17.5751340527234
11,3.48431728586377,179.591268382821,112.537057883425,2903.17096344874,3863.08702486475,18.1426534479985
12,3.58466027701584,184.363401134075,115.356960042396,2925.0814320291,3959.55280694598,18.7255000675911
13,3.6983870631489,189.622732680138,118.503811343798,2950.69405253152,4065.58348519007,19.5586953759921
14,3.83226348394348,195.512152854128,122.131082182255,2972.02865454175,4186.46265764915,19.9777166502082
15,3.99005250300305,202.099300678658,126.364607879151,2983.55865775044,4326.49302267496,20.6058679374116
16,4.1684141909752,209.228271742761,131.207145274755,2985.0346993207,4485.53682371079,21.1301581764823
17,4.3540044849442,216.374259667205,136.431769814252,2980.38538777894,4655.23264331775,21.6123082710084
18,4.52482047300641,222.662015717753,141.551371536765,2974.07952699077,4818.04795725335,22.1115529027046
19,4.65716188565181,227.141254022959,145.938022134278,2968.0803901489,4951.83083344667,22.1988791114926
20,4.73577410625513,229.22131600304,149.066040003262,2961.72778608762,5038.89041034291,24.7695634230449
21,4.76109281447816,228.984542595172,150.740882031942,2954.04337774462,5074.35464461249,24.474633270689
22,4.74859487928057,227.150119690738,151.165385640752,2945.9736808504,5068.07083619143,25.0110216087814
23,4.72004372609616,224.69561585507,150.799649212888,2940.40647604323,5038.4793250234,24.6690211590305
24,4.69271772680304,222.408919623111,150.123915927302,2940.08458508566,5003.02612634695,25.217553260846
25,4.6731955509161,220.642245872145,149.454252814626,2945.38241440013,4971.37318537548,26.093197930817
26,4.65880058589832,219.369329717277,148.905094060934,2953.9195473727,4945.0445429245,25.9350653602762
27,4.64334352770418,218.401612778572,148.45996885121,2962.05193677249,4921.41958346144,25.8816727414703
28,4.62258202604704,217.588100121913,148.068869906528,2966.84328989269,4898.20072399386,26.0767292897779
29,4.59611161102797,216.880442301931,147.694027546897,2966.85210277842,4875.09419865383,26.1390464300813
30,4.56659998413409,216.294566979041,147.307691575162,2961.62341769281,4853.19021696112,26.941389934566
31,4.53786009057967,215.831539527915,146.874162690639,2950.70834144556,4833.47071547927,26.8357848078221
32,4.5132375209993,215.434665556795,146.356775768042,2933.46552931593,4816.1104805204,26.7923856979689
33,4.4942837302344,214.994600142298,145.742159039427,2909.71071011177,4800.3835809654,27.3648682697152
34,4.4800288485354,214.385369781536,145.049698217896,2880.59965897279,4784.76520205924,27.15573149921
35,4.46717155965532,213.49772409277,144.308682538639,2848.68297655128,4766.97813249861,27.9616205531357
36,4.45144659899914,212.261678886584,143.523847825115,2817.06286931948,4744.49197660508,27.7444941471276
37,4.42975553429892,210.67983221663,142.676866922857,2788.36835511634,4715.9122457496,27.9786249194488
38,4.40194427642,208.867404546161,141.766658753112,2764.44687148618,4682.57743056912,27.7280039984196
39,4.3713499567433,207.077375035933,140.85705773987,2746.67807357726,4649.23107039108,27.3695328373692
40,4.34348743059531,205.653304388092,140.074760091695,2735.9379418485,4622.57856723321,27.9571547984336
41,4.32348880293343,204.913434997102,139.55651685612,2731.72759770151,4608.3159077799,28.2475347727928
42,4.31328635267268,204.996362461522,139.371418308859,2731.27279618374,4607.93618223969,27.8958135112725
43,4.31029629025534,205.766151929386,139.471469645639,2730.09551823722,4617.43539344376,27.9286732235329
44,4.30855146694272,206.835577045621,139.692228156709,2724.2576420131,4628.68945266703,28.0210690189829
45,4.30218070091711,207.731738479913,139.813729577083,2712.65206331182,4633.23316624447,28.5014147762632
46,4.28923649019694,208.111044771434,139.658653030909,2697.29978584565,4626.25253557538,28.5339710253928
47,4.2732282553117,207.899696819583,139.183722220199,2681.41524633496,4608.55739267878,28.3057745937759
48,4.2609686864455,207.264483426434,138.509038574307,2667.03736053132,4585.24137736867,28.4701660539322
49,4.25792939735467,206.459776263724,137.857945479417,2654.23993419235,4562.24931964398,28.3968095087358
50,4.2645276311959,205.67571009457,137.443814252761,2642.02645777625,4543.28496910269,28.4608536903012
51,4.27590014552432,204.98913052031,137.367113587548,2629.55859125015,4528.90094509314,28.6337200103417
52,4.28513134949957,204.399714387593,137.58152135613,2616.30265341669,4517.45338187756,28.7437395282178
53,4.28704771882879,203.874353871029,137.923525499572,2601.5168537047,4506.45654935819,28.3693553239107
54,4.28005760250784,203.357410100566,138.183681687573,2583.83482137949,4493.42432446075,28.8386892556893
55,4.26547574271443,202.779300748643,138.17794903108,2561.72493105243,4476.51118586346,28.9155727485619
56,4.24594281580739,202.093273235876,137.807890725558,2534.04467481905,4455.36450660992,28.6517703825749
57,4.22415579232145,201.319361174884,137.08293926507,2500.6435371271,4431.65053073507,28.5442886256573
58,4.20217308660064,200.536777339217,136.105219492801,2462.71829502675,4408.37623622275,28.4354543080728
59,4.18083529317091,199.822764492109,135.019502400497,2423.41920350269,4388.05856221144,28.5004716084764
60,4.15978846460975,199.188691372455,133.968560717731,2387.73845839447,4371.18427602815,28.6270038345336
61,4.13843414123115,198.585286046297,133.07023639625,2361.27506371666,4356.29464135592,28.749658086642
62,4.11742357480394,197.963982407268,132.415574126247,2347.72391499383,4341.61287443754,28.5337278776234
63,4.09887203270196,197.340497806674,132.054259478008,2346.78098239577,4326.56379097271,28.6973207871722
64,4.08471256570828,196.785292954596,131.96311598643,2353.67923784959,4311.72850097473,28.6232794896663
65,4.07436056603653,196.360124058955,132.023372540737,2360.91875270239,4297.40997486652,28.29138830718
66,4.06441561790108,196.050375569066,132.052111798312,2361.10665226718,4282.53373250425,28.3089706295427
67,4.05100009048903,195.767938095113,131.886424575305,2349.77499769119,4265.30610092119,28.5827473017921
68,4.03297437357996,195.410922009086,131.469762200218,2326.87832536255,4245.17014639052,28.1090785102039
69,4.01284155447572,194.937833343604,130.871683171824,2296.4318057782,4224.07803637154,28.2814347243532
70,3.99454781816578,194.38750864338,130.227690765441,2264.23722465556,4205.61683020839,28.1623490709636
71,3.97993499337113,193.839005185866,129.642867950529,2235.11686246044,4192.45631516571,27.9879468646424
72,3.96691207916604,193.335577595943,129.128905656314,2211.33270122109,4184.13318192394,27.5351291768426
73,3.95077845939819,192.832945432906,128.607499133005,2193.23574158827,4176.82186567558,28.0350847494885
74,3.927745433466,192.209760596423,127.972560268012,2180.98529429988,4165.3753041027,27.9580579532144
75,3.89823720816018,191.348143447337,127.172457018344,2175.41965171117,4146.38132495827,27.3772463212427
76,3.86750730339937,190.230756260613,126.267347732231,2176.92208230074,4120.438638215,27.7667969894877
77,3.84289226366902,188.97891500435,125.421811310115,2183.43024065326,4092.04419552624,27.6446286330482
78,3.82899756257871,187.786177959649,124.823059666137,2189.75665019641,4066.80481607038,27.563935360698
79,3.82410139100255,186.790062743913,124.56521003634,2189.532158749,4047.54875407151,27.6107336342379
80,3.82050357864332,185.982617239771,124.576444676005,2178.68947168195,4032.05853766353,27.2165110185218
81,3.80916385438935,185.230451612232,124.647068731234,2157.72921773816,4014.40704093507,27.2661520719377
82,3.78556303664178,184.380543562643,124.546500646012,2130.68648234662,3989.05898643894,27.2857963497675
83,3.752683167907,183.354564033005,124.151470503029,2101.49341101097,3954.81129578459,27.0221548760197
84,3.71907212543808,182.166948240407,123.504466175131,2070.96619095452,3915.55386022715,26.7281932745942
85,3.69369388382887,180.875862139677,122.776660264622,2037.27228657395,3877.74509437527,26.272709248452
86,3.68133037306492,179.543030953202,122.172834912627,1999.48006170688,3846.83358002692,26.3108812192459
87,3.6811810199761,178.238934098392,121.840503690386,1960.85728155722,3825.51472075009,26.8018103826543
88,3.6884097204195,177.087407144343,121.827051067729,1928.53602982771,3814.37953388555,26.3628470323194
