Age,Sodium,Fat,Protein,PA,Energy,BMI
0,2.47943723258746,123.072093719596,84.8773759478348,100.125707994646,2658.48209731453,14
1,2.51211087737477,124.146214287129,85.5388857708227,187.366073278368,2683.42675889224,14.3685828159461
2,2.57205271002169,126.127887273683,86.7575576524129,368.694997117848,2729.13223968038,14.7371656318922
3,2.65013293748704,128.740255192007,88.3577293637311,644.376840669983,2788.49253791338,15.1057484478383
4,2.7362823419687,131.681004817115,90.146578753471,993.172666952732,2853.58781067717,15.4743312637844
5,2.82232591167025,134.693729425635,91.9668391864257,1369.55482333907,2917.81566025118,15.8429140797305
6,2.90375203879712,137.601853220657,93.7278042520833,1717.96353597276,2977.26356536924,16.0119148019656
7,2.97980155424102,140.305636149824,95.4038795600333,1994.62156091452,3030.86686848524,16.1741913680825
8,3.05214067660996,142.768618803338,97.0110452808288,2182.65217594276,3079.64947159714,16.6391952091644
9,3.12298957634736,145.004954596454,98.577641587332,2291.3702393873,3125.55901120477,17.0507129483051
10,3.19378450893447,147.070085702056,100.127279523077,2343.88969331399,3170.51850992693,17.8183659566576
11,3.2650206233708,149.043768189981,101.676812369563,2363.21279214366,3215.9236828437,18.4674118080375
12,3.33732768155215,151.015811780684,103.247353901359,2365.3764161996,3262.7379130788,19.2419401212024
13,3.41290586977143,153.076220710872,104.875740419104,2359.94032173419,3311.85276957536,19.7549369664343
14,3.49610865909532,155.308603584256,106.617205803648,2353.4998372703,3364.25367275747,20.199963138886
15,3.59211500532907,157.762714095239,108.528842598275,2351.65048124623,3420.39291212692,20.9565710100217
16,3.7039224008911,160.411016292663,110.638894903584,2358.29010836423,3478.99233791526,21.0404070864342
17,3.82908793610477,163.112222714515,112.913612384049,2373.82057029165,3536.10417557155,20.9539336950494
18,3.95847903567246,165.630142715752,115.244819461104,2394.46891496869,3585.65956747815,21.1988827899226
19,4.07838291864638,167.709411869813,117.468334539487,2413.82387984059,3621.58990954009,21.0008007907829
20,4.17544217457657,169.174186597226,119.410683275741,2425.78311727407,3640.4880536568,23.1107896837588
21,4.24167267200296,169.977473402517,120.937938787635,2427.21140854362,3642.88662169651,23.3540182176686
22,4.27667237484623,170.182793723329,121.984010804906,2418.82554822694,3632.46548226288,23.5042643455203
23,4.28602911687924,169.906374366093,122.549148712135,2404.33131672318,3613.91866519505,23.7227031147974
24,4.27783991222272,169.289784308017,122.686364540301,2388.63595797588,3591.40720368288,23.935577681952
25,4.25997637560068,168.508180840255,122.492444611317,2376.15584688342,3568.30942497328,24.3468074555542
26,4.23918637729065,167.769317201777,122.101081686661,2369.4483082561,3547.62678401134,24.5586835752478
27,4.22072487603473,167.243634142284,121.656050309152,2368.53148829563,3531.59217546122,24.1015979843853
28,4.20726258818654,166.959522875502,121.257385842941,2371.17837581124,3520.48050454672,24.7015638330526
29,4.19750152656833,166.757320668674,120.912827574659,2374.52052901737,3511.8674089974,24.4032845197433
30,4.1865041991741,166.374030508972,120.540611065948,2376.8976401686,3501.66443956311,25.7659852215619
31,4.16851582207569,165.613408271773,120.038040784825,2378.58021507594,3486.53296521852,25.7295008157064
32,4.14082793636114,164.479595290011,119.368068842793,2380.4605024084,3465.98852332054,25.0495346621774
33,4.10591290834779,163.181094934038,118.599379500261,2382.05550851677,3442.70103096483,26.0189024785118
34,4.07030986175718,162.007171587763,117.867697129617,2380.71694745662,3420.9024863046,26.1168368289969
35,4.04110029665382,161.167325282016,117.295240050515,2373.13773063005,3404.0803943659,27.0195051016554
36,4.02233377383992,160.688028811581,116.92938452809,2357.77417119015,3393.33326204591,26.607595595396
37,4.01369473157563,160.432619448085,116.744607653062,2336.18991409896,3387.31544201399,26.6527749397866
38,4.01180319143426,160.217259883634,116.690004122446,2312.22472999491,3383.60555282279,26.1697678376471
39,4.01280876479503,159.947490952749,116.735609539417,2290.01695402535,3380.53807598408,26.9000238128172
40,4.0139984045536,159.661865570651,116.871554305492,2272.3880580604,3378.00773147676,26.9178684808823
41,4.01366932324987,159.465511295303,117.072392034083,2260.36372131501,3376.76324226553,27.1220092418541
42,4.01030886306754,159.411319997526,117.268511275029,2253.29653963653,3376.84856156429,27.1741185604528
43,4.00285539399654,159.452187528007,117.373445593167,2249.0952120508,3376.91909055702,27.2400989234434
44,3.99204191940938,159.48914978512,117.347218538273,2244.66011874129,3375.03429386589,27.0481374991704
45,3.98097486947187,159.463368796832,117.24382809808,2237.00635498041,3370.29995025573,27.9231658911988
46,3.97338205552544,159.38278517514,117.180989025253,2224.80021547382,3363.50798854703,27.4021698328741
47,3.97044832319149,159.270545530122,117.252680366233,2209.31893488344,3356.24048475864,27.6730860387896
48,3.96920599641414,159.091426213846,117.446144331482,2193.95522519144,3349.13941837164,27.7128308756163
49,3.96442453944835,158.750444074029,117.641231742559,2182.37335143818,3341.26111305726,27.8472332232596
50,3.95271298628027,158.164670292314,117.686242824162,2176.43363171723,3330.95710110525,28.4268560712968
51,3.93528654967871,157.347273502583,117.495576565798,2175.04639070783,3317.56506373091,28.2110355819156
52,3.91687870193585,156.415067320459,117.087701433709,2174.75664578216,3302.06795995025,28.0938503544681
53,3.90192008379171,155.522613338755,116.552127224619,2171.62518035624,3286.44018354533,28.223951793468
54,3.89139065382385,154.7785869223,115.97978148161,2163.45649584406,3272.29945330037,27.9548251772472
55,3.88311220931991,154.224128093004,115.425657821498,2150.7574033145,3260.37803949996,27.9729160278601
56,3.87470127124386,153.863967589972,114.918530519229,2136.01901830059,3250.83370936836,28.4085202441388
57,3.8662388435471,153.702822484068,114.495718264228,2121.7244890838,3243.8762910964,28.060899776902
58,3.86003467200993,153.729941203828,114.209257100248,2108.84110998998,3239.71824025937,28.3873338772924
59,3.85795910447885,153.880539537083,114.097427903888,2096.67859193268,3238.11349486208,28.2620497640934
60,3.85893410938526,154.027949609786,114.147548318994,2084.23365976952,3238.02801738461,28.4830827446362
61,3.85904083219821,154.042189254299,114.295999274085,2071.6274443261,3237.9641952217,27.8774047132362
62,3.85414789828985,153.865313004292,114.46269801871,2060.54666192941,3236.54518530396,27.9229420074903
63,3.84278873317279,153.536163173798,114.58938746253,2053.11531798674,3232.84762288165,28.3687857454558
64,3.82679046581389,153.133720417799,114.64223626793,2050.12991972251,3226.24615522818,28.3414816486987
65,3.80921389752886,152.691267833922,114.588342560286,2049.98762270825,3216.1138113999,28.2552061143455
66,3.79137160148338,152.149597572904,114.375336404285,2049.42381657762,3201.74322639607,28.4675285563095
67,3.77166987617595,151.394073583483,113.950099419571,2045.5179621244,3182.73551393833,27.9972498784874
68,3.74729434275622,150.344730213909,113.304165443375,2037.36588475193,3159.66752672578,28.3021139690311
69,3.71748725300574,149.045624476829,112.514831049347,2025.79350666421,3134.69103514264,27.738041085643
70,3.6851861673641,147.681264817333,111.732634329703,2011.55201828673,3111.33559507267,27.8913507957123
71,3.65556254907722,146.513558959461,111.116413253501,1993.91881416555,3093.38420991276,27.5980996496168
72,3.63244089598221,145.76595065028,110.750553890131,1971.63108872344,3083.22785181924,27.6037226191749
73,3.61631404455094,145.539300035999,110.614517738702,1945.22580426785,3081.00385996541,27.4742480438282
74,3.60536187543424,145.789685071681,110.621830631694,1918.24500633131,3084.89007258558,27.3165678652508
75,3.59834899454468,146.371339138711,110.695433660064,1895.06463759878,3092.21986446188,26.8979446195271
76,3.59551051962668,147.086011081215,110.805992998926,1877.13678128797,3100.06740778297,27.0391963195516
77,3.59673955370753,147.726104201261,110.950333089787,1861.03712303389,3105.22696204862,26.9932158555437
78,3.59892289873057,148.107120706177,111.102391410413,1841.10069729728,3104.01648114273,27.4678951133899
79,3.59650470456117,148.120427370222,111.200303477415,1814.28351545113,3093.16619973636,26.7735649459457
80,3.58537276050931,147.788532242273,111.190919612346,1783.25461199912,3071.55687357111,26.6793203455915
81,3.56729281875655,147.286818216325,111.094235420136,1754.37106138656,3042.0029611954,25.9855422095882
82,3.55018176838407,146.879921936456,111.020203601673,1732.66965153256,3011.24462480393,25.971063447698
83,3.54350128984312,146.778376821585,111.100439094271,1717.85306268305,2987.55088612423,26.453628051807
84,3.55159993935324,146.994814970628,111.373576262152,1704.82015025155,2976.58055202214,25.9959918978578
85,3.57008023255263,147.299011120255,111.712879709427,1687.63964267087,2977.9616107165,25.1448880292044
86,3.58749758327781,147.327674541301,111.873905532361,1663.64892878945,2984.99927133218,25.4076264757411
87,3.59129784499142,146.786403959295,111.647148688935,1634.54217387676,2988.28805736447,25.6319602773461
88,3.57460921622,145.66027509736,111.029780138064,1604.29708050119,2981.84824838011,24.6969515613069
89,3.5410088496476,144.326561555051,110.297831693385,1576.23905628419,2968.40509163939,26.0017314877357
90,3.50519302449716,143.519703270162,109.921530958805,1551.55316846718,2960.71145281885,25.6805854761805
91,3.48782491373676,144.048469468305,110.315463253718,1530.02788671973,2976.23300728727,25.7906651581516
92,3.50451750083278,146.292267874191,111.529491731122,1511.46364977411,3026.48001270988,24.8881948458519
93,3.55347424296348,149.678044302892,113.045800972081,1495.4310937506,3105.71017164468,24.7763254332246
94,3.61094588333635,152.617286535466,113.905341447932,1478.28571074198,3188.07536863138,24.2529725208504
95,3.641475212413,153.189237141172,113.186610303425,1448.88992308777,3238.02333921792,26.1083918886454
96,3.61934375059848,150.341206781787,110.61653170232,1387.79509033826,3230.59920594434,25.6002502653749
97,3.54640924459511,144.732292373624,106.8520972704,1273.16719705986,3167.55896103567,25.2969919505437
98,3.45201865668087,138.500491156072,103.188724117684,1093.13456665458,3077.29231462148,26.5309402175237
99,3.37421779610401,133.993108068046,100.831431344241,856.406003101995,2997.3602717144,24.9744044021041
