gender_id,gender,age,lambda,mu,sigma,p85,p95
1,Male,0,-1.982373595,16.54777487,0.080127429,18.11954923,19.27889813
1,Male,1,-1.982373595,16.54777487,0.080127429,18.11954923,19.27889813
1,Male,2,-1.982373595,16.54777487,0.080127429,18.11954923,19.27889813
1,Male,3,-1.419991255,16.00030401,0.072634432,17.32627356,18.23841666
1,Male,4,-1.714869347,15.62817269,0.071889214,16.92501028,17.8361423
1,Male,5,-2.61516595,15.41914163,0.07599225,16.84075838,17.93892524
1,Male,6,-3.21170511,15.38353217,0.083048178,17.01417786,18.41421242
1,Male,7,-3.323188896,15.51286936,0.092131305,17.40121891,19.15236073
1,Male,8,-3.18305795,15.78231007,0.102091189,17.95575444,20.06792538
1,Male,9,-2.971148225,16.16712234,0.111720691,18.63222223,21.08892746
1,Male,10,-2.765648008,16.64613844,0.120112464,19.3904113,22.15409238
1,Male,11,-2.590560148,17.20088732,0.126734613,20.19667437,23.21358351
1,Male,12,-2.447426113,17.81463359,0.131389042,21.02385969,24.22984982
1,Male,13,-2.3294571,18.47179706,0.13414147,21.85104367,25.17811163
1,Male,14,-2.227362173,19.15758672,0.135251083,22.66325092,26.04662217
1,Male,15,-2.132344989,19.85766121,0.135110159,23.45117065,26.83688026
1,Male,16,-2.039015385,20.5576474,0.134198323,24.21087038,27.56392793
1,Male,17,-1.949134561,21.24247982,0.13305669,24.94361805,28.25675709
1,Male,18,-1.874670324,21.8958685,0.132286382,25.65601244,28.9586172
1,Male,19,-1.835138046,22.50071778,0.132566359,26.36053932,29.72674204
1,Male,20,-1.843580575,23.04137734,0.134675001,27.07644874,30.63106054
2,Female,0,-1.024496827,16.38804056,0.085025838,17.97371413,19.05823845
2,Female,1,-1.024496827,16.38804056,0.085025838,17.97371413,19.05823845
2,Female,2,-1.024496827,16.38804056,0.085025838,17.97371413,19.05823845
2,Female,3,-2.096828937,15.69924188,0.078605255,17.16633643,18.25475381
2,Female,4,-3.018521987,15.29854897,0.078713325,16.80057671,18.02851473
2,Female,5,-3.35007771,15.15188405,0.084300139,16.80197195,18.25738105
2,Female,6,-3.225606516,15.21690296,0.093803033,17.09974172,18.83777954
2,Female,7,-2.926186592,15.45356545,0.105325289,17.6255667,19.67793583
2,Female,8,-2.617192204,15.82699517,0.117158667,18.31717594,20.69525186
2,Female,9,-2.360920527,16.30609316,0.128013515,19.11937316,21.8172543
2,Female,10,-2.171295888,16.86231366,0.137057004,19.98399779,22.98257733
2,Female,11,-2.045235058,17.46906585,0.143868341,20.86984014,24.14141407
2,Female,12,-1.975521156,18.10148804,0.148361495,21.74262677,25.25564304
2,Female,13,-1.954977947,18.73643338,0.150705138,22.57506113,26.298799
2,Female,14,-1.977073595,19.35257209,0.151255713,23.34689045,27.25597392
2,Female,15,-2.034893091,19.9305662,0.150511645,24.04502533,28.12369169
2,Female,16,-2.119156972,20.45325617,0.14909006,24.66372475,28.90980533
2,Female,17,-2.215737645,20.90575839,0.147723315,25.20482218,29.63350259
2,Female,18,-2.303687802,21.27532239,0.14726877,25.67786376,30.32554216
2,Female,19,-2.355677743,21.55082155,0.148723546,26.09993465,31.02880054
2,Female,20,-2.342796948,21.72190973,0.153240872,26.49501679,31.79902964
