LocID,Location,VarID,Variant,Time,MidPeriod,TimeYear,Births,LEx,LExMale,LExFemale,Deaths,DeathsMale,DeathsFemale,NetMigrations,SRB
620,Portugal,2,Medium,1950-1955,1953,1950,203602.6,60.32,57.63,62.85,100414.8,50761.6,49653.2,-61474.8,1.06
620,Portugal,2,Medium,1950-1955,1953,1951,203602.6,60.32,57.63,62.85,100414.8,50761.6,49653.2,-61474.8,1.06
620,Portugal,2,Medium,1950-1955,1953,1952,203602.6,60.32,57.63,62.85,100414.8,50761.6,49653.2,-61474.8,1.06
620,Portugal,2,Medium,1950-1955,1953,1953,203602.6,60.32,57.63,62.85,100414.8,50761.6,49653.2,-61474.8,1.06
620,Portugal,2,Medium,1950-1955,1953,1954,203602.6,60.32,57.63,62.85,100414.8,50761.6,49653.2,-61474.8,1.06
620,Portugal,2,Medium,1950-1955,1953,1955,203602.6,60.32,57.63,62.85,100414.8,50761.6,49653.2,-61474.8,1.06
620,Portugal,2,Medium,1955-1960,1958,1956,209080.81,62.36,59.56,65.01,99948.6,50574.4,49374.2,-65310.8,1.06
620,Portugal,2,Medium,1955-1960,1958,1957,209080.81,62.36,59.56,65.01,99948.6,50574.4,49374.2,-65310.8,1.06
620,Portugal,2,Medium,1955-1960,1958,1958,209080.81,62.36,59.56,65.01,99948.6,50574.4,49374.2,-65310.8,1.06
620,Portugal,2,Medium,1955-1960,1958,1959,209080.81,62.36,59.56,65.01,99948.6,50574.4,49374.2,-65310.8,1.06
620,Portugal,2,Medium,1955-1960,1958,1960,209080.81,62.36,59.56,65.01,99948.6,50574.4,49374.2,-65310.8,1.06
620,Portugal,2,Medium,1960-1965,1963,1961,210420,64.45,61.46,67.3,97826.8,49865.4,47961.4,-109065.8,1.06
620,Portugal,2,Medium,1960-1965,1963,1962,210420,64.45,61.46,67.3,97826.8,49865.4,47961.4,-109065.8,1.06
620,Portugal,2,Medium,1960-1965,1963,1963,210420,64.45,61.46,67.3,97826.8,49865.4,47961.4,-109065.8,1.06
620,Portugal,2,Medium,1960-1965,1963,1964,210420,64.45,61.46,67.3,97826.8,49865.4,47961.4,-109065.8,1.06
620,Portugal,2,Medium,1960-1965,1963,1965,210420,64.45,61.46,67.3,97826.8,49865.4,47961.4,-109065.8,1.06
620,Portugal,2,Medium,1965-1970,1968,1966,195090.6,66.36,63.14,69.48,97846.6,49999.2,47847.4,-139433,1.06
620,Portugal,2,Medium,1965-1970,1968,1967,195090.6,66.36,63.14,69.48,97846.6,49999.2,47847.4,-139433,1.06
620,Portugal,2,Medium,1965-1970,1968,1968,195090.6,66.36,63.14,69.48,97846.6,49999.2,47847.4,-139433,1.06
620,Portugal,2,Medium,1965-1970,1968,1969,195090.6,66.36,63.14,69.48,97846.6,49999.2,47847.4,-139433,1.06
620,Portugal,2,Medium,1965-1970,1968,1970,195090.6,66.36,63.14,69.48,97846.6,49999.2,47847.4,-139433,1.06
620,Portugal,2,Medium,1970-1975,1973,1971,176776,68.33,65.02,71.53,94231.8,48081,46150.8,21637.4,1.06
620,Portugal,2,Medium,1970-1975,1973,1972,176776,68.33,65.02,71.53,94231.8,48081,46150.8,21637.4,1.06
620,Portugal,2,Medium,1970-1975,1973,1973,176776,68.33,65.02,71.53,94231.8,48081,46150.8,21637.4,1.06
620,Portugal,2,Medium,1970-1975,1973,1974,176776,68.33,65.02,71.53,94231.8,48081,46150.8,21637.4,1.06
620,Portugal,2,Medium,1970-1975,1973,1975,176776,68.33,65.02,71.53,94231.8,48081,46150.8,21637.4,1.06
620,Portugal,2,Medium,1975-1980,1978,1976,171175.6,70.41,66.84,73.91,95157,49429.4,45727.6,39725.8,1.06
620,Portugal,2,Medium,1975-1980,1978,1977,171175.6,70.41,66.84,73.91,95157,49429.4,45727.6,39725.8,1.06
620,Portugal,2,Medium,1975-1980,1978,1978,171175.6,70.41,66.84,73.91,95157,49429.4,45727.6,39725.8,1.06
620,Portugal,2,Medium,1975-1980,1978,1979,171175.6,70.41,66.84,73.91,95157,49429.4,45727.6,39725.8,1.06
