LocID,Location,VarID,Variant,Time,Births,SRB,LEx,LExMale,LExFemale,Deaths,DeathsMale,DeathsFemale,NetMigrations
356,India,2,Medium,1950,15651496,1.051,41.7232,42.5995,40.8008,7942496,3935660,4006836,124658
356,India,2,Medium,1951,16041888,1.051,41.7437,42.6349,40.8048,8171043,4054483,4116559,98023
356,India,2,Medium,1952,16458330,1.051,42.038,42.9119,41.1155,8293345,4122618,4170728,15795
356,India,2,Medium,1953,16857474,1.052,42.2051,43.0329,41.3291,8442216,4207628,4234587,-135005
356,India,2,Medium,1954,17246702,1.052,42.953,43.7388,42.1184,8413993,4201096,4212897,-105559
356,India,2,Medium,1955,17549400,1.051,43.3876,44.1327,42.5944,8468267,4235259,4233008,-115107
356,India,2,Medium,1956,17843840,1.052,43.7619,44.4728,43.0043,8533395,4273641,4259755,-119260
356,India,2,Medium,1957,18127958,1.051,44.0574,44.7566,43.3122,8617802,4317911,4299891,-143738
356,India,2,Medium,1958,18369732,1.051,44.4235,45.102,43.7,8673317,4349047,4324269,-342106
356,India,2,Medium,1959,18592576,1.052,44.8893,45.5598,44.174,8687830,4357379,4330451,-49875
356,India,2,Medium,1960,18957618,1.052,45.218,45.8837,44.5076,8756300,4392735,4363565,52264
356,India,2,Medium,1961,19301072,1.052,45.3985,46.057,44.6952,8874247,4453448,4420799,114181
356,India,2,Medium,1962,19662550,1.052,45.6592,46.3122,44.9613,8969316,4501950,4467365,110398
356,India,2,Medium,1963,20030594,1.052,45.9363,46.5798,45.2476,9064358,4550912,4513446,48986
356,India,2,Medium,1964,20406980,1.052,46.184,46.8219,45.5008,9176669,4607795,4568874,5837
356,India,2,Medium,1965,20678678,1.052,44.98,45.5564,44.3614,9823825,4948113,4875713,19077
356,India,2,Medium,1966,20913380,1.053,45.3332,45.8985,44.7267,9885962,4980750,4905213,-144807
356,India,2,Medium,1967,21193322,1.053,45.6736,46.2253,45.0825,9962698,5021523,4941175,-124336
356,India,2,Medium,1968,21454180,1.053,47.471,48.0653,46.8365,9486463,4768994,4717469,-184326
356,India,2,Medium,1969,21704442,1.054,47.8574,48.4556,47.2196,9550627,4800594,4750033,-171683
356,India,2,Medium,1970,22042928,1.055,48.2407,48.8538,47.5875,9606005,4826227,4779778,-45792
356,India,2,Medium,1971,22482718,1.055,48.6324,49.2836,47.9379,9657680,4845984,4811696,-220417
356,India,2,Medium,1972,22835036,1.056,49.025,49.6943,48.3097,9701774,4865983,4835791,-60291
356,India,2,Medium,1973,23229502,1.056,49.5395,50.2239,48.8064,9700688,4862985,4837703,-62763
356,India,2,Medium,1974,23558642,1.058,50.2441,50.9123,49.5261,9627602,4829236,4798366,-168162
356,India,2,Medium,1975,23660096,1.059,50.8123,51.4183,50.1585,9592460,4823181,4769278,-225989
356,India,2,Medium,1976,24020806,1.062,51.3883,51.8836,50.8517,9571887,4833770,4738117,-436104
356,India,2,Medium,1977,24041856,1.062,51.9086,52.2745,51.5116,9555203,4849341,4705862,-31092
356,India,2,Medium,1978,24242926,1.063,52.492,52.7102,52.2575,9520383,4858903,4661479,-13841
356,India,2,Medium,1979,24698876,1.065,53.0601,53.1354,52.9854,9514537,4883036,4631501,68198
356,India,2,Medium,1980,25235028,1.067,53.6114,53.5451,53.6962,9529884,4918805,4611079,202323
356,India,2,Medium,1981,25682976,1.069,54.1748,53.988,54.3965,9532282,4943269,4589013,23662
356,India,2,Medium,1982,25964422,1.068,54.7322,54.446,55.0677,9512344,4950450,4561894,-26106
356,India,2,Medium,1983,26329460,1.068,55.2809,54.9109,55.7124,9487429,4951016,4536413,46174
356,India,2,Medium,1984,26777350,1.069,55.8157,55.3872,56.3153,9470538,4949589,4520949,-57788
356,India,2,Medium,1985,27001360,1.068,56.3338,55.849,56.8984,9443755,4941918,4501837,-112781
356,India,2,Medium,1986,27521504,1.068,56.8352,56.2993,57.4592,9433597,4941241,4492356,-258917
356,India,2,Medium,1987,27477888,1.069,57.3147,56.7259,57.9994,9400433,4929356,4471077,-232178
356,India,2,Medium,1988,27654404,1.069,57.7772,57.1132,58.5456,9368817,4922515,4446302,-103742
356,India,2,Medium,1989,27733328,1.067,58.2333,57.5112,59.0642,9335200,4908795,4426405,-13987
356,India,2,Medium,1990,27692242,1.069,58.6516,57.876,59.5366,9305873,4896674,4409199,108465
356,India,2,Medium,1991,27937352,1.073,59.0547,58.2557,59.9565,9295002,4887872,4407131,-158007
356,India,2,Medium,1992,28057136,1.076,59.4524,58.6596,60.335,9285086,4872221,4412865,8198
356,India,2,Medium,1993,28054516,1.079,59.8152,59.0537,60.6497,9282709,4855842,4426867,2440
356,India,2,Medium,1994,28206658,1.084,60.2158,59.4826,61.0071,9269679,4836002,4433678,110095
356,India,2,Medium,1995,28313788,1.089,60.5962,59.8899,61.3508,9269376,4825481,4443895,-57139
356,India,2,Medium,1996,28304910,1.09,60.9841,60.2767,61.7332,9261931,4818238,4443693,-26079
356,India,2,Medium,1997,28340882,1.092,61.3876,60.6652,62.1477,9251005,4814047,4436958,1240
356,India,2,Medium,1998,28380714,1.093,61.7919,61.0281,62.5947,9244646,4819954,4424693,-28485
356,India,2,Medium,1999,28365312,1.093,62.2069,61.3511,63.1109,9235338,4836945,4398393,-106592
356,India,2,Medium,2000,28614634,1.095,62.6693,61.754,63.6388,9220819,4845164,4375655,-149966
356,India,2,Medium,2001,28842612,1.093,63.0913,62.1135,64.1306,9234705,4869101,4365604,-177306
356,India,2,Medium,2002,28647658,1.091,63.616,62.5727,64.7289,9185917,4861382,4324536,-208070
356,India,2,Medium,2003,28355764,1.093,64.0942,62.9813,65.287,9149752,4863915,4285836,-255516
356,India,2,Medium,2004,28098682,1.094,64.5244,63.3128,65.8313,9135916,4885405,4250511,-214351
356,India,2,Medium,2005,27645748,1.094,64.9955,63.7186,66.3787,9095710,4884690,4211020,-550186
356,India,2,Medium,2006,27228668,1.093,65.4123,64.0534,66.8911,9080132,4899888,4180244,-678231
356,India,2,Medium,2007,27029548,1.093,65.7884,64.3653,67.342,9094629,4926303,4168326,-769184
356,India,2,Medium,2008,26890100,1.094,66.149,64.6543,67.7858,9123063,4960979,4162084,-846785
356,India,2,Medium,2009,26848280,1.095,66.5132,64.962,68.2151,9154384,4993309,4161075,-803437
356,India,2,Medium,2010,26598910,1.096,66.9086,65.3268,68.6449,9162368,5007017,4155351,-380087
356,India,2,Medium,2011,26342016,1.095,67.359,65.7651,69.1058,9139211,4998030,4141181,-244114
356,India,2,Medium,2012,26026698,1.092,67.8872,66.3242,69.5921,9072346,4953196,4119151,-180991
356,India,2,Medium,2013,25739528,1.091,68.4598,66.9607,70.0831,8986805,4888297,4098508,-236387
356,India,2,Medium,2014,24899418,1.091,69.0736,67.6506,70.6017,8876169,4805481,4070688,-310694
356,India,2,Medium,2015,24828120,1.09,69.6363,68.2846,71.0767,8825601,4755438,4070163,-475094
356,India,2,Medium,2016,24783026,1.088,70.1167,68.8102,71.5029,8838896,4746318,4092578,68119
356,India,2,Medium,2017,24253964,1.086,70.4672,69.1595,71.8561,8927865,4791870,4135995,-219656
356,India,2,Medium,2018,24168444,1.084,70.7095,69.3672,72.1423,9098071,4892594,4205476,-561563
356,India,2,Medium,2019,23583090,1.082,70.9098,69.5255,72.3954,9280916,5002481,4278435,-593495
356,India,2,Medium,2020,23138532,1.079,70.1499,68.6147,71.8237,10262275,5602755,4659520,-34772
356,India,2,Medium,2021,23113534,1.077,67.2398,65.7563,68.8864,13299618,7212220,6087398,-301970
356,India,2,Medium,2022,23056028,1.075,67.7437,66.2569,69.3843,12862015,6968129,5893887,-487303
356,India,2,Medium,2023,23056736,1.073,72.0276,70.5175,73.646,9368327,5079472,4288855,-486136
356,India,2,Medium,2024,23000686,1.071,72.2888,70.7488,73.9423,9531792,5176210,4355583,-486784
356,India,2,Medium,2025,22979744,1.068,72.5451,70.9766,74.2319,9702039,5276234,4425805,-486077
