LocID,Location,Variant,Time,TimeYear,AgeGrp,Age,DeathsMale,DeathsFemale,DeathsTotal
620,Portugal,Estimates,2010-2015,2010,0-4,0,25.553635,18.987524,44.540802
620,Portugal,Estimates,2010-2015,2010,0-4,1,25.145533,18.671907,43.817005
620,Portugal,Estimates,2010-2015,2010,0-4,2,24.362463,18.063036,42.424896
620,Portugal,Estimates,2010-2015,2010,0-4,3,23.26747,17.20342,40.47002
620,Portugal,Estimates,2010-2015,2010,0-4,4,21.947472,16.151615,38.09784
620,Portugal,Estimates,2010-2015,2010,5-9,5,20.505163,14.976716,35.480106
620,Portugal,Estimates,2010-2015,2010,5-9,6,19.049833,13.752131,32.79952
620,Portugal,Estimates,2010-2015,2010,5-9,7,17.688211,12.549399,30.23432
620,Portugal,Estimates,2010-2015,2010,5-9,8,16.516315,11.432716,27.944727
620,Portugal,Estimates,2010-2015,2010,5-9,9,15.613087,10.454764,26.062387
620,Portugal,Estimates,2010-2015,2010,10-14,10,15.036386,9.654129,24.683775
620,Portugal,Estimates,2010-2015,2010,10-14,11,14.821408,9.054465,23.867788
620,Portugal,Estimates,2010-2015,2010,10-14,12,14.981454,8.66523,23.637253
620,Portugal,Estimates,2010-2015,2010,10-14,13,15.510582,8.483727,23.983614
620,Portugal,Estimates,2010-2015,2010,10-14,14,16.387644,8.49801,24.873865
620,Portugal,Estimates,2010-2015,2010,15-19,15,17.581078,8.690211,26.258657
620,Portugal,Estimates,2010-2015,2010,15-19,16,19.053926,9.039899,28.080666
620,Portugal,Estimates,2010-2015,2010,15-19,17,20.76864,9.527091,30.282404
620,Portugal,Estimates,2010-2015,2010,15-19,18,22.691343,10.1347475,32.812984
620,Portugal,Estimates,2010-2015,2010,15-19,19,24.795374,10.850604,35.633465
620,Portugal,Estimates,2010-2015,2010,20-24,20,27.064005,11.668302,38.720734
620,Portugal,Estimates,2010-2015,2010,20-24,21,29.4923,12.587916,42.069874
620,Portugal,Estimates,2010-2015,2010,20-24,22,32.08813,13.615907,45.69516
620,Portugal,Estimates,2010-2015,2010,20-24,23,34.87239,14.764648,49.62979
620,Portugal,Estimates,2010-2015,2010,20-24,24,37.878452,16.051626,53.924564
620,Portugal,Estimates,2010-2015,2010,25-29,25,41.151005,17.498411,58.64571
620,Portugal,Estimates,2010-2015,2010,25-29,26,44.744354,19.129532,63.87202
620,Portugal,Estimates,2010-2015,2010,25-29,27,48.720367,20.971296,69.69165
620,Portugal,Estimates,2010-2015,2010,25-29,28,53.1462,23.050661,76.19871
620,Portugal,Estimates,2010-2015,2010,25-29,29,58.09201,25.394197,83.4899
620,Portugal,Estimates,2010-2015,2010,30-34,30,63.62874,28.02717,91.661415
620,Portugal,Estimates,2010-2015,2010,30-34,31,69.82618,30.972818,100.806244
620,Portugal,Estimates,2010-2015,2010,30-34,32,76.75134,34.251755,111.01196
620,Portugal,Estimates,2010-2015,2010,30-34,33,84.46714,37.881588,122.35905
620,Portugal,Estimates,2010-2015,2010,30-34,34,93.03147,41.876705,134.91972
620,Portugal,Estimates,2010-2015,2010,35-39,35,102.49661,46.248215,148.75731
620,Portugal,Estimates,2010-2015,2010,35-39,36,112.908775,51.004055,163.9259
620,Portugal,Estimates,2010-2015,2010,35-39,37,124.3078,56.149242,180.47034
620,Portugal,Estimates,2010-2015,2010,35-39,38,136.72704,61.68622,198.42639
620,Portugal,Estimates,2010-2015,2010,35-39,39,150.19281,67.615395,217.82082
620,Portugal,Estimates,2010-2015,2010,40-44,40,164.72406,73.93572,238.67159
620,Portugal,Estimates,2010-2015,2010,40-44,41,180.3316,80.64538,260.98767
620,Portugal,Estimates,2010-2015,2010,40-44,42,197.01715,87.742615,284.7692
620,Portugal,Estimates,2010-2015,2010,40-44,43,214.77258,95.22669,310.00735
620,Portugal,Estimates,2010-2015,2010,40-44,44,233.57915,103.099,336.6849
620,Portugal,Estimates,2010-2015,2010,45-49,45,253.40746,111.36433,364.77722
620,Portugal,Estimates,2010-2015,2010,45-49,46,274.2181,120.03236,394.25476
620,Portugal,Estimates,2010-2015,2010,45-49,47,295.96365,129.11938,425.0863
620,Portugal,Estimates,2010-2015,2010,45-49,48,318.59164,138.65019,457.24423
620,Portugal,Estimates,2010-2015,2010,45-49,49,342.04922,148.66003,490.71103
620,Portugal,Estimates,2010-2015,2010,50-54,50,366.2886,159.19676,525.4866
620,Portugal,Estimates,2010-2015,2010,50-54,51,391.27332,170.32268,561.59686
620,Portugal,Estimates,2010-2015,2010,50-54,52,416.98428,182.11664,599.1015
620,Portugal,Estimates,2010-2015,2010,50-54,53,443.4257,194.67561,638.1016
620,Portugal,Estimates,2010-2015,2010,50-54,54,470.62964,208.11644,678.74615
620,Portugal,Estimates,2010-2015,2010,55-59,55,498.6591,222.57745,721.2365
620,Portugal,Estimates,2010-2015,2010,55-59,56,527.60944,238.22035,765.8296
620,Portugal,Estimates,2010-2015,2010,55-59,57,557.6082,255.23254,812.8403
620,Portugal,Estimates,2010-2015,2010,55-59,58,588.81274,273.82962,862.64154
620,Portugal,Estimates,2010-2015,2010,55-59,59,621.40686,294.25882,915.6645
620,Portugal,Estimates,2010-2015,2010,60-64,60,655.59644,316.80225,972.397
620,Portugal,Estimates,2010-2015,2010,60-64,61,691.603,341.78012,1033.3807
620,Portugal,Estimates,2010-2015,2010,60-64,62,729.65656,369.55295,1099.2064
620,Portugal,Estimates,2010-2015,2010,60-64,63,769.98566,400.52182,1170.5033
620,Portugal,Estimates,2010-2015,2010,60-64,64,812.8051,435.1251,1247.9247
620,Portugal,Estimates,2010-2015,2010,65-69,65,858.30005,473.8309,1332.1241
620,Portugal,Estimates,2010-2015,2010,65-69,66,906.606,517.12354,1423.7217
620,Portugal,Estimates,2010-2015,2010,65-69,67,957.78467,565.4829,1523.2582
