LocID,Location,VarID,Variant,Time,Age,DeathMale,DeathFemale,DeathTotal
250,France,2,Medium,1950,0,25776,18878,44654
250,France,2,Medium,1950,1,2186,1890,4076
250,France,2,Medium,1950,2,827,675,1502
250,France,2,Medium,1950,3,542,460,1001
250,France,2,Medium,1950,4,375,298,673
250,France,2,Medium,1950,5,272,212,484
250,France,2,Medium,1950,6,225,198,422
250,France,2,Medium,1950,7,212,128,339
250,France,2,Medium,1950,8,178,120,298
250,France,2,Medium,1950,9,173,108,281
250,France,2,Medium,1950,10,162,151,313
250,France,2,Medium,1950,11,189,129,318
250,France,2,Medium,1950,12,194,132,326
250,France,2,Medium,1950,13,206,182,388
250,France,2,Medium,1950,14,249,156,405
250,France,2,Medium,1950,15,317,204,521
250,France,2,Medium,1950,16,337,232,568
250,France,2,Medium,1950,17,403,271,674
250,France,2,Medium,1950,18,440,298,738
250,France,2,Medium,1950,19,505,374,878
250,France,2,Medium,1950,20,512,375,887
250,France,2,Medium,1950,21,572,384,956
250,France,2,Medium,1950,22,659,429,1089
250,France,2,Medium,1950,23,612,449,1061
250,France,2,Medium,1950,24,672,455,1127
250,France,2,Medium,1950,25,695,504,1199
250,France,2,Medium,1950,26,733,520,1253
250,France,2,Medium,1950,27,765,516,1281
250,France,2,Medium,1950,28,757,586,1343
250,France,2,Medium,1950,29,834,594,1428
250,France,2,Medium,1950,30,693,503,1195
250,France,2,Medium,1950,31,512,389,901
250,France,2,Medium,1950,32,495,342,837
250,France,2,Medium,1950,33,445,364,810
250,France,2,Medium,1950,34,549,411,960
250,France,2,Medium,1950,35,758,571,1329
250,France,2,Medium,1950,36,942,740,1682
250,France,2,Medium,1950,37,1117,773,1889
250,France,2,Medium,1950,38,1124,859,1983
250,France,2,Medium,1950,39,1275,768,2043
250,France,2,Medium,1950,40,1389,878,2267
250,France,2,Medium,1950,41,1479,1007,2487
250,France,2,Medium,1950,42,1668,1048,2716
250,France,2,Medium,1950,43,1828,1079,2907
250,France,2,Medium,1950,44,2002,1149,3151
250,France,2,Medium,1950,45,2147,1264,3411
250,France,2,Medium,1950,46,2354,1411,3765
250,France,2,Medium,1950,47,2538,1484,4021
250,France,2,Medium,1950,48,2661,1637,4298
250,France,2,Medium,1950,49,2928,1603,4531
250,France,2,Medium,1950,50,3153,1755,4908
250,France,2,Medium,1950,51,3175,1905,5080
250,France,2,Medium,1950,52,3249,1965,5214
250,France,2,Medium,1950,53,3291,2148,5439
250,France,2,Medium,1950,54,3195,2308,5503
250,France,2,Medium,1950,55,3047,2317,5364
250,France,2,Medium,1950,56,3321,2526,5847
250,France,2,Medium,1950,57,3412,2553,5965
250,France,2,Medium,1950,58,3491,2722,6213
250,France,2,Medium,1950,59,3831,2929,6760
250,France,2,Medium,1950,60,3952,3219,7171
250,France,2,Medium,1950,61,4303,3209,7511
250,France,2,Medium,1950,62,4509,3578,8087
250,France,2,Medium,1950,63,4838,4029,8867
250,France,2,Medium,1950,64,5107,4271,9378
250,France,2,Medium,1950,65,5366,4519,9885
250,France,2,Medium,1950,66,5578,4833,10411
250,France,2,Medium,1950,67,5722,5248,10970
250,France,2,Medium,1950,68,6174,5803,11977
250,France,2,Medium,1950,69,6130,5957,12086
250,France,2,Medium,1950,70,6530,6304,12835
250,France,2,Medium,1950,71,7212,6841,14053
250,France,2,Medium,1950,72,7591,7278,14869
250,France,2,Medium,1950,73,7822,7765,15586
250,France,2,Medium,1950,74,8056,8325,16382
250,France,2,Medium,1950,75,7914,8461,16375
250,France,2,Medium,1950,76,7867,8743,16610
250,France,2,Medium,1950,77,7794,8770,16565
250,France,2,Medium,1950,78,6906,8236,15143
250,France,2,Medium,1950,79,6361,7731,14093
250,France,2,Medium,1950,80,6428,8108,14536
250,France,2,Medium,1950,81,5793,7773,13566
250,France,2,Medium,1950,82,5343,7325,12668
250,France,2,Medium,1950,83,5003,7082,12085
250,France,2,Medium,1950,84,4274,6509,10783
250,France,2,Medium,1950,85,3607,5802,9409
250,France,2,Medium,1950,86,3090,5199,8290
250,France,2,Medium,1950,87,2573,4544,7117
250,France,2,Medium,1950,88,2061,3693,5753
250,France,2,Medium,1950,89,1531,3090,4621
250,France,2,Medium,1950,90,1219,2507,3726
250,France,2,Medium,1950,91,819,1797,2617
250,France,2,Medium,1950,92,577,1353,1930
250,France,2,Medium,1950,93,385,966,1350
250,France,2,Medium,1950,94,279,719,998
250,France,2,Medium,1950,95,162,452,614
250,France,2,Medium,1950,96,109,310,419
250,France,2,Medium,1950,97,72,211,283
250,France,2,Medium,1950,98,50,131,181
250,France,2,Medium,1950,99,34,81,115
250,France,2,Medium,1950,100,31,92,123
250,France,2,Medium,1951,0,24117,17866,41983
250,France,2,Medium,1951,1,2491,2070,4561
250,France,2,Medium,1951,2,799,692,1491
250,France,2,Medium,1951,3,599,465,1064
250,France,2,Medium,1951,4,424,323,747
250,France,2,Medium,1951,5,298,257,555
250,France,2,Medium,1951,6,204,158,362
250,France,2,Medium,1951,7,196,141,337
250,France,2,Medium,1951,8,175,114,290
250,France,2,Medium,1951,9,124,110,234
250,France,2,Medium,1951,10,156,118,274
250,France,2,Medium,1951,11,157,106,263
250,France,2,Medium,1951,12,139,145,284
250,France,2,Medium,1951,13,208,140,349
250,France,2,Medium,1951,14,238,171,409
250,France,2,Medium,1951,15,276,202,479
250,France,2,Medium,1951,16,275,195,471
250,France,2,Medium,1951,17,347,249,596
250,France,2,Medium,1951,18,436,268,704
250,France,2,Medium,1951,19,499,317,816
250,France,2,Medium,1951,20,471,324,796
250,France,2,Medium,1951,21,519,375,894
250,France,2,Medium,1951,22,572,419,991
250,France,2,Medium,1951,23,637,430,1067
250,France,2,Medium,1951,24,714,446,1160
250,France,2,Medium,1951,25,725,474,1199
250,France,2,Medium,1951,26,684,501,1185
250,France,2,Medium,1951,27,728,536,1265
250,France,2,Medium,1951,28,722,578,1300
250,France,2,Medium,1951,29,774,572,1345
250,France,2,Medium,1951,30,804,640,1444
250,France,2,Medium,1951,31,718,544,1262
250,France,2,Medium,1951,32,578,397,974
250,France,2,Medium,1951,33,516,365,881
250,France,2,Medium,1951,34,466,363,830
250,France,2,Medium,1951,35,628,402,1031
250,France,2,Medium,1951,36,824,570,1394
250,France,2,Medium,1951,37,1059,793,1851
250,France,2,Medium,1951,38,1138,784,1922
250,France,2,Medium,1951,39,1247,849,2096
250,France,2,Medium,1951,40,1373,870,2243
250,France,2,Medium,1951,41,1598,964,2562
250,France,2,Medium,1951,42,1760,1025,2784
250,France,2,Medium,1951,43,1861,1055,2916
250,France,2,Medium,1951,44,1960,1171,3131
250,France,2,Medium,1951,45,2189,1299,3488
250,France,2,Medium,1951,46,2425,1421,3846
250,France,2,Medium,1951,47,2616,1507,4123
250,France,2,Medium,1951,48,2846,1679,4524
250,France,2,Medium,1951,49,3072,1694,4766
250,France,2,Medium,1951,50,3341,1886,5227
250,France,2,Medium,1951,51,3414,1887,5301
250,France,2,Medium,1951,52,3599,2050,5649
250,France,2,Medium,1951,53,3441,2242,5683
250,France,2,Medium,1951,54,3563,2409,5972
250,France,2,Medium,1951,55,3465,2416,5880
250,France,2,Medium,1951,56,3510,2455,5965
250,France,2,Medium,1951,57,3672,2851,6523
250,France,2,Medium,1951,58,3796,3022,6818
250,France,2,Medium,1951,59,3897,3010,6908
250,France,2,Medium,1951,60,4103,3187,7290
250,France,2,Medium,1951,61,4437,3583,8020
250,France,2,Medium,1951,62,4695,3742,8437
250,France,2,Medium,1951,63,5001,4140,9141
250,France,2,Medium,1951,64,5355,4557,9912
250,France,2,Medium,1951,65,5637,4778,10414
250,France,2,Medium,1951,66,5907,5050,10957
