location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
D356,India,Pancreas cancer,2019,,,8,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,8,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,8,,2,Female,5,prevalence,7.14E-08,7.14E-08,7.14E-08
D356,India,Pancreas cancer,2019,,,8,,2,Female,6,incidence,3.71E-08,3.71E-08,3.71E-08
D356,India,Pancreas cancer,2019,,,8,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,8,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,9,,1,Male,5,prevalence,9.62E-08,9.62E-08,9.62E-08
D356,India,Pancreas cancer,2019,,,9,,1,Male,6,incidence,5.25E-08,5.25E-08,5.25E-08
D356,India,Pancreas cancer,2019,,,9,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,9,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,9,,2,Female,5,prevalence,9.51E-08,9.51E-08,9.51E-08
D356,India,Pancreas cancer,2019,,,9,,2,Female,6,incidence,4.99E-08,4.99E-08,4.99E-08
D356,India,Pancreas cancer,2019,,,9,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,9,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,10,,1,Male,5,prevalence,1.25E-07,1.25E-07,1.25E-07
D356,India,Pancreas cancer,2019,,,10,,1,Male,6,incidence,6.95E-08,6.95E-08,6.95E-08
D356,India,Pancreas cancer,2019,,,10,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,10,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,10,,2,Female,5,prevalence,1.24E-07,1.24E-07,1.24E-07
D356,India,Pancreas cancer,2019,,,10,,2,Female,6,incidence,6.59E-08,6.59E-08,6.59E-08
D356,India,Pancreas cancer,2019,,,10,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,10,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,11,,1,Male,5,prevalence,1.60E-07,1.60E-07,1.60E-07
D356,India,Pancreas cancer,2019,,,11,,1,Male,6,incidence,9.01E-08,9.01E-08,9.01E-08
D356,India,Pancreas cancer,2019,,,11,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,11,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,11,,2,Female,5,prevalence,1.58E-07,1.58E-07,1.58E-07
D356,India,Pancreas cancer,2019,,,11,,2,Female,6,incidence,8.54E-08,8.54E-08,8.54E-08
D356,India,Pancreas cancer,2019,,,11,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,11,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,12,,1,Male,5,prevalence,2.00E-07,2.00E-07,2.00E-07
D356,India,Pancreas cancer,2019,,,12,,1,Male,6,incidence,1.15E-07,1.15E-07,1.15E-07
D356,India,Pancreas cancer,2019,,,12,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,12,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,12,,2,Female,5,prevalence,1.98E-07,1.98E-07,1.98E-07
D356,India,Pancreas cancer,2019,,,12,,2,Female,6,incidence,1.09E-07,1.09E-07,1.09E-07
D356,India,Pancreas cancer,2019,,,12,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,12,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,13,,1,Male,5,prevalence,2.46E-07,2.46E-07,2.46E-07
D356,India,Pancreas cancer,2019,,,13,,1,Male,6,incidence,1.44E-07,1.44E-07,1.44E-07
D356,India,Pancreas cancer,2019,,,13,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,13,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,13,,2,Female,5,prevalence,2.43E-07,2.43E-07,2.43E-07
D356,India,Pancreas cancer,2019,,,13,,2,Female,6,incidence,1.36E-07,1.36E-07,1.36E-07
D356,India,Pancreas cancer,2019,,,13,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,13,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,14,,1,Male,5,prevalence,2.98E-07,2.98E-07,2.98E-07
D356,India,Pancreas cancer,2019,,,14,,1,Male,6,incidence,1.78E-07,1.78E-07,1.78E-07
D356,India,Pancreas cancer,2019,,,14,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,14,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,14,,2,Female,5,prevalence,2.93E-07,2.93E-07,2.93E-07
D356,India,Pancreas cancer,2019,,,14,,2,Female,6,incidence,1.68E-07,1.68E-07,1.68E-07
D356,India,Pancreas cancer,2019,,,14,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,14,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,15,,1,Male,5,prevalence,3.54E-07,3.54E-07,3.54E-07
D356,India,Pancreas cancer,2019,,,15,,1,Male,6,incidence,2.17E-07,2.17E-07,2.17E-07
D356,India,Pancreas cancer,2019,,,15,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,15,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,15,,2,Female,5,prevalence,3.49E-07,3.49E-07,3.49E-07
D356,India,Pancreas cancer,2019,,,15,,2,Female,6,incidence,2.04E-07,2.04E-07,2.04E-07
D356,India,Pancreas cancer,2019,,,15,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,15,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,16,,1,Male,5,prevalence,4.16E-07,4.16E-07,4.16E-07
D356,India,Pancreas cancer,2019,,,16,,1,Male,6,incidence,2.62E-07,2.62E-07,2.62E-07
D356,India,Pancreas cancer,2019,,,16,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,16,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,16,,2,Female,5,prevalence,4.09E-07,4.09E-07,4.09E-07
D356,India,Pancreas cancer,2019,,,16,,2,Female,6,incidence,2.45E-07,2.45E-07,2.45E-07
D356,India,Pancreas cancer,2019,,,16,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,16,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,17,,1,Male,5,prevalence,4.84E-07,4.84E-07,4.84E-07
D356,India,Pancreas cancer,2019,,,17,,1,Male,6,incidence,3.14E-07,3.14E-07,3.14E-07
D356,India,Pancreas cancer,2019,,,17,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,17,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,17,,2,Female,5,prevalence,4.74E-07,4.74E-07,4.74E-07
D356,India,Pancreas cancer,2019,,,17,,2,Female,6,incidence,2.92E-07,2.92E-07,2.92E-07
D356,India,Pancreas cancer,2019,,,17,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,17,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,18,,1,Male,5,prevalence,5.57E-07,5.57E-07,5.57E-07
D356,India,Pancreas cancer,2019,,,18,,1,Male,6,incidence,3.73E-07,3.73E-07,3.73E-07
D356,India,Pancreas cancer,2019,,,18,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,18,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,18,,2,Female,5,prevalence,5.43E-07,5.43E-07,5.43E-07
D356,India,Pancreas cancer,2019,,,18,,2,Female,6,incidence,3.44E-07,3.44E-07,3.44E-07
D356,India,Pancreas cancer,2019,,,18,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,18,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,19,,1,Male,5,prevalence,6.37E-07,6.37E-07,6.37E-07
D356,India,Pancreas cancer,2019,,,19,,1,Male,6,incidence,4.42E-07,4.42E-07,4.42E-07
D356,India,Pancreas cancer,2019,,,19,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,19,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,19,,2,Female,5,prevalence,6.17E-07,6.17E-07,6.17E-07
D356,India,Pancreas cancer,2019,,,19,,2,Female,6,incidence,4.04E-07,4.04E-07,4.04E-07
D356,India,Pancreas cancer,2019,,,19,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,19,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,20,,1,Male,5,prevalence,7.25E-07,7.25E-07,7.25E-07
D356,India,Pancreas cancer,2019,,,20,,1,Male,6,incidence,5.22E-07,5.22E-07,5.22E-07
D356,India,Pancreas cancer,2019,,,20,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,20,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,20,,2,Female,5,prevalence,6.97E-07,6.97E-07,6.97E-07
D356,India,Pancreas cancer,2019,,,20,,2,Female,6,incidence,4.71E-07,4.71E-07,4.71E-07
D356,India,Pancreas cancer,2019,,,20,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,20,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,21,,1,Male,5,prevalence,8.23E-07,8.23E-07,8.23E-07
D356,India,Pancreas cancer,2019,,,21,,1,Male,6,incidence,6.15E-07,6.15E-07,6.15E-07
D356,India,Pancreas cancer,2019,,,21,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,21,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,21,,2,Female,5,prevalence,7.82E-07,7.82E-07,7.82E-07
D356,India,Pancreas cancer,2019,,,21,,2,Female,6,incidence,5.47E-07,5.47E-07,5.47E-07
D356,India,Pancreas cancer,2019,,,21,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,21,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,22,,1,Male,5,prevalence,9.34E-07,9.34E-07,9.34E-07
D356,India,Pancreas cancer,2019,,,22,,1,Male,6,incidence,7.24E-07,7.24E-07,7.24E-07
D356,India,Pancreas cancer,2019,,,22,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,22,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,22,,2,Female,5,prevalence,8.74E-07,8.74E-07,8.74E-07
D356,India,Pancreas cancer,2019,,,22,,2,Female,6,incidence,6.34E-07,6.34E-07,6.34E-07
D356,India,Pancreas cancer,2019,,,22,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,22,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,23,,1,Male,5,prevalence,1.06E-06,1.06E-06,1.06E-06
D356,India,Pancreas cancer,2019,,,23,,1,Male,6,incidence,8.53E-07,8.53E-07,8.53E-07
D356,India,Pancreas cancer,2019,,,23,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,23,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,23,,2,Female,5,prevalence,9.76E-07,9.76E-07,9.76E-07
D356,India,Pancreas cancer,2019,,,23,,2,Female,6,incidence,7.34E-07,7.34E-07,7.34E-07
D356,India,Pancreas cancer,2019,,,23,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,23,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,24,,1,Male,5,prevalence,1.20E-06,1.20E-06,1.20E-06
D356,India,Pancreas cancer,2019,,,24,,1,Male,6,incidence,1.00E-06,1.00E-06,1.00E-06
D356,India,Pancreas cancer,2019,,,24,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,24,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,24,,2,Female,5,prevalence,1.09E-06,1.09E-06,1.09E-06
D356,India,Pancreas cancer,2019,,,24,,2,Female,6,incidence,8.50E-07,8.50E-07,8.50E-07
D356,India,Pancreas cancer,2019,,,24,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,24,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,25,,1,Male,5,prevalence,1.37E-06,1.37E-06,1.37E-06
D356,India,Pancreas cancer,2019,,,25,,1,Male,6,incidence,1.18E-06,1.18E-06,1.18E-06
D356,India,Pancreas cancer,2019,,,25,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,25,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,25,,2,Female,5,prevalence,1.22E-06,1.22E-06,1.22E-06
D356,India,Pancreas cancer,2019,,,25,,2,Female,6,incidence,9.85E-07,9.85E-07,9.85E-07
D356,India,Pancreas cancer,2019,,,25,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,25,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,26,,1,Male,5,prevalence,1.56E-06,1.56E-06,1.56E-06
D356,India,Pancreas cancer,2019,,,26,,1,Male,6,incidence,1.39E-06,1.39E-06,1.39E-06
D356,India,Pancreas cancer,2019,,,26,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,26,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,26,,2,Female,5,prevalence,1.36E-06,1.36E-06,1.36E-06
D356,India,Pancreas cancer,2019,,,26,,2,Female,6,incidence,1.14E-06,1.14E-06,1.14E-06
D356,India,Pancreas cancer,2019,,,26,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,26,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,27,,1,Male,5,prevalence,1.77E-06,1.77E-06,1.77E-06
D356,India,Pancreas cancer,2019,,,27,,1,Male,6,incidence,1.63E-06,1.63E-06,1.63E-06
D356,India,Pancreas cancer,2019,,,27,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,27,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,27,,2,Female,5,prevalence,1.53E-06,1.53E-06,1.53E-06
D356,India,Pancreas cancer,2019,,,27,,2,Female,6,incidence,1.33E-06,1.33E-06,1.33E-06
D356,India,Pancreas cancer,2019,,,27,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,27,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,28,,1,Male,5,prevalence,2.02E-06,2.02E-06,2.02E-06
D356,India,Pancreas cancer,2019,,,28,,1,Male,6,incidence,1.91E-06,1.91E-06,1.91E-06
D356,India,Pancreas cancer,2019,,,28,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,28,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,28,,2,Female,5,prevalence,1.72E-06,1.72E-06,1.72E-06
D356,India,Pancreas cancer,2019,,,28,,2,Female,6,incidence,1.54E-06,1.54E-06,1.54E-06
D356,India,Pancreas cancer,2019,,,28,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,28,,2,Female,15,mortality,0,0,0
