LocID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
620,Portugal,2,Medium,2010,2010.5,0,0,1,48483,47085,95568
620,Portugal,2,Medium,2010,2010.5,1,1,1,49375,47540,96915
620,Portugal,2,Medium,2010,2010.5,2,2,1,50269,48098,98367
620,Portugal,2,Medium,2010,2010.5,3,3,1,51157,48741,99898
620,Portugal,2,Medium,2010,2010.5,4,4,1,52031,49450,101481
620,Portugal,2,Medium,2010,2010.5,5,5,1,52882,50205,103087
620,Portugal,2,Medium,2010,2010.5,6,6,1,53704,50987,104691
620,Portugal,2,Medium,2010,2010.5,7,7,1,54487,51777,106264
620,Portugal,2,Medium,2010,2010.5,8,8,1,55225,52556,107781
620,Portugal,2,Medium,2010,2010.5,9,9,1,55908,53304,109212
620,Portugal,2,Medium,2010,2010.5,10,10,1,56563,54062,110625
620,Portugal,2,Medium,2010,2010.5,11,11,1,57215,54873,112088
620,Portugal,2,Medium,2010,2010.5,12,12,1,57690,55413,113103
620,Portugal,2,Medium,2010,2010.5,13,13,1,57912,55541,113453
620,Portugal,2,Medium,2010,2010.5,14,14,1,57974,55420,113394
620,Portugal,2,Medium,2010,2010.5,15,15,1,58080,55387,113467
620,Portugal,2,Medium,2010,2010.5,16,16,1,58235,55413,113648
620,Portugal,2,Medium,2010,2010.5,17,17,1,58369,55525,113894
620,Portugal,2,Medium,2010,2010.5,18,18,1,58484,55784,114268
620,Portugal,2,Medium,2010,2010.5,19,19,1,58641,56203,114844
620,Portugal,2,Medium,2010,2010.5,20,20,1,58872,56701,115573
620,Portugal,2,Medium,2010,2010.5,21,21,1,59132,57252,116384
620,Portugal,2,Medium,2010,2010.5,22,22,1,59788,58235,118023
620,Portugal,2,Medium,2010,2010.5,23,23,1,61014,59819,120833
620,Portugal,2,Medium,2010,2010.5,24,24,1,62643,61833,124476
620,Portugal,2,Medium,2010,2010.5,25,25,1,64274.004,63867,128141.01
620,Portugal,2,Medium,2010,2010.5,26,26,1,65916,65918,131834
620,Portugal,2,Medium,2010,2010.5,27,27,1,67754,68196,135950
620,Portugal,2,Medium,2010,2010.5,28,28,1,69816,70739,140555
620,Portugal,2,Medium,2010,2010.5,29,29,1,71984,73404,145388
620,Portugal,2,Medium,2010,2010.5,30,30,1,74067,75977,150044
620,Portugal,2,Medium,2010,2010.5,31,31,1,76055,78460,154515
620,Portugal,2,Medium,2010,2010.5,32,32,1,77824,80632,158456
620,Portugal,2,Medium,2010,2010.5,33,33,1,79278,82349,161627
620,Portugal,2,Medium,2010,2010.5,34,34,1,80412,83650,164062
620,Portugal,2,Medium,2010,2010.5,35,35,1,81454,84863,166317
620,Portugal,2,Medium,2010,2010.5,36,36,1,82524,86092,168616
620,Portugal,2,Medium,2010,2010.5,37,37,1,82667,86384,169051
620,Portugal,2,Medium,2010,2010.5,38,38,1,81486,85354,166840
620,Portugal,2,Medium,2010,2010.5,39,39,1,79475,83496,162971
620,Portugal,2,Medium,2010,2010.5,40,40,1,77431,81586,159017
620,Portugal,2,Medium,2010,2010.5,41,41,1,75083,79344,154427
620,Portugal,2,Medium,2010,2010.5,42,42,1,73544,77969,151513
620,Portugal,2,Medium,2010,2010.5,43,43,1,73412,78098,151510
620,Portugal,2,Medium,2010,2010.5,44,44,1,74132,79131,153263
620,Portugal,2,Medium,2010,2010.5,45,45,1,74604,79902,154506
620,Portugal,2,Medium,2010,2010.5,46,46,1,75114,80724,155838
620,Portugal,2,Medium,2010,2010.5,47,47,1,75051,80883,155934
620,Portugal,2,Medium,2010,2010.5,48,48,1,74020,79931,153951
620,Portugal,2,Medium,2010,2010.5,49,49,1,72377,78279,150656
620,Portugal,2,Medium,2010,2010.5,50,50,1,70862,76770,147632
620,Portugal,2,Medium,2010,2010.5,51,51,1,69316,75224,144540
620,Portugal,2,Medium,2010,2010.5,52,52,1,67970,73922,141892
620,Portugal,2,Medium,2010,2010.5,53,53,1,67008,73084,140092
620,Portugal,2,Medium,2010,2010.5,54,54,1,66292,72547,138839
620,Portugal,2,Medium,2010,2010.5,55,55,1,65448.996,71875,137324
620,Portugal,2,Medium,2010,2010.5,56,56,1,64491.996,71101,135593
620,Portugal,2,Medium,2010,2010.5,57,57,1,63680,70470,134150
620,Portugal,2,Medium,2010,2010.5,58,58,1,63081,70043,133124
620,Portugal,2,Medium,2010,2010.5,59,59,1,62568,69702,132270
620,Portugal,2,Medium,2010,2010.5,60,60,1,62018,69344,131362
620,Portugal,2,Medium,2010,2010.5,61,61,1,61550,69083,130632.99
620,Portugal,2,Medium,2010,2010.5,62,62,1,60516,68287,128802.99
620,Portugal,2,Medium,2010,2010.5,63,63,1,58608,66662,125270
620,Portugal,2,Medium,2010,2010.5,64,64,1,56163,64532.996,120696
620,Portugal,2,Medium,2010,2010.5,65,65,1,53773,62475,116248
620,Portugal,2,Medium,2010,2010.5,66,66,1,51261,60318,111579
620,Portugal,2,Medium,2010,2010.5,67,67,1,49213,58630,107843
620,Portugal,2,Medium,2010,2010.5,68,68,1,47963,57735,105698
620,Portugal,2,Medium,2010,2010.5,69,69,1,47209,57341,104550
620,Portugal,2,Medium,2010,2010.5,70,70,1,46273,56766,103039
620,Portugal,2,Medium,2010,2010.5,71,71,1,45244,56067,101311
620,Portugal,2,Medium,2010,2010.5,72,72,1,44160,55425,99585
620,Portugal,2,Medium,2010,2010.5,73,73,1,42956,54835,97791
620,Portugal,2,Medium,2010,2010.5,74,74,1,41608,54189,95797
620,Portugal,2,Medium,2010,2010.5,75,75,1,40243,53453,93696
620,Portugal,2,Medium,2010,2010.5,76,76,1,38941,52717,91658
620,Portugal,2,Medium,2010,2010.5,77,77,1,37017,51258,88275
620,Portugal,2,Medium,2010,2010.5,78,78,1,34179,48740,82919
620,Portugal,2,Medium,2010,2010.5,79,79,1,30765,45503,76268
620,Portugal,2,Medium,2010,2010.5,80,80,1,27410,42252,69662
620,Portugal,2,Medium,2010,2010.5,81,81,1,23982,38884,62866
620,Portugal,2,Medium,2010,2010.5,82,82,1,20890,35524,56414
